frame,x,y
0,916.19385,641.404
1,892.1693,657.2491
2,902.6272,694.5469
3,926.28845,735.0804
4,913.38763,739.8551
5,863.2671,708.99835
6,824.1996,676.4532
7,820.81915,656.00287
8,826.2009,654.2348
9,803.6108,699.9988
10,755.6421,795.04956
11,714.37573,886.1232
12,696.1415,928.9222
13,697.2283,928.4663
14,701.8031,916.6532
15,686.41296,922.85834
16,662.8405,944.572
17,674.1901,952.0816
18,720.73834,937.6347
19,751.23724,927.3227
20,731.7677,938.45074
21,690.244,958.018
22,681.6595,968.37036
23,719.4216,970.5831
24,769.90784,972.3121
25,801.1903,971.34076
26,809.0855,962.0329
27,804.0929,944.4167
28,790.43304,925.85846
29,767.2023,918.7208
30,748.07605,919.0154
31,767.6807,896.6155
32,849.3963,840.43445
33,958.1511,787.16394
34,1008.49817,781.21985
35,946.93726,832.33124
36,816.0839,903.6653
37,724.83344,935.4367
38,773.73944,902.501
39,969.3089,839.1568
40,1164.5599,796.7832
41,1186.6344,791.2395
42,1055.865,803.53723
43,938.46326,818.2081
44,905.43933,836.64417
45,894.77014,861.00543
46,864.97754,887.0652
47,835.71844,911.2245
48,812.68616,929.7426
49,776.8319,929.90405
50,726.2024,901.90314
51,684.2595,863.7756
52,677.7358,853.5274
53,713.64825,893.1646
54,767.0736,967.0251
55,799.49524,1031.1968
56,794.9839,1039.8722
57,767.0698,976.111
58,740.56995,880.0078
59,730.91425,817.3512
60,734.17,804.2013
61,740.81805,808.9876
62,747.71423,810.30096
63,752.6554,809.1542
64,752.86566,810.50946
65,750.51337,813.99664
66,752.6202,815.2998
67,765.7571,811.82465
68,789.7444,805.116
69,812.58374,799.2395
70,818.09924,798.032
71,803.6517,802.1028
72,782.9764,807.7292
73,770.52026,809.8379
74,769.9692,807.6054
75,777.49976,807.22034
76,787.12244,815.35004
77,791.53186,827.95996
78,786.489,832.9383
79,774.46216,822.9823
80,760.4408,799.9902
81,748.602,775.39764
82,742.30524,762.8304
83,742.74255,763.39417
84,748.52954,768.8432
85,755.8384,774.3029
86,759.97266,778.80817
87,759.71136,781.9125
88,757.3477,783.7508
89,754.62646,785.57
90,750.84247,789.0136
91,744.30145,793.97906
92,740.0967,796.2812
93,756.4709,789.3926
94,805.4751,773.46814
95,865.2812,759.62085
96,899.33594,757.76215
97,899.50134,766.03687
98,885.6986,778.1923
99,876.6191,791.29944
100,877.3418,800.979
101,885.3348,800.1733
102,896.4267,792.424
103,902.37976,804.4792
104,895.5568,861.53973
105,884.68854,934.7855
106,880.9933,961.5687
107,859.25366,934.17236
108,781.692,910.78107
109,676.35,935.6651
110,624.1315,989.17053
111,651.62897,1026.1149
112,706.66534,1035.9489
113,740.9501,1030.4498
114,760.30365,994.65106
115,791.95685,906.50305
116,831.16876,803.69257
117,846.9489,756.1956
118,833.0787,772.03357
119,815.7776,806.22437
120,817.8589,830.1506
121,837.49567,839.0514
122,855.3917,833.41864
123,856.1512,822.20807
124,839.8693,828.2385
125,815.86566,867.1266
126,793.8406,918.27325
127,778.67645,952.1825
128,770.53955,978.7706
129,769.4648,1017.4266
130,773.3681,1052.2424
131,776.5686,1061.4138
132,777.4778,1046.3883
133,777.5642,1016.1381
134,776.5262,980.35925
135,778.441,952.80084
136,786.13666,938.2891
137,787.96155,930.5095
138,771.2688,928.6496
139,744.37103,935.1393
140,726.74084,943.2624
141,724.0394,944.6303
142,728.835,936.8011
143,737.00665,920.5968
144,750.19806,902.8393
145,768.35406,894.60016
146,784.7574,898.59326
147,790.0191,906.6119
148,784.0162,910.7322
149,776.59216,910.5564
150,773.5338,909.53937
151,772.54126,909.0352
152,772.4368,909.038
153,773.9865,912.1457
154,774.98615,921.8357
155,774.13947,935.8729
