frame,x,y
0,728.37366,949.6018
1,676.0342,920.7709
2,624.49414,887.43604
3,593.37164,862.9129
4,590.21,863.0156
5,598.8902,893.55585
6,606.72327,942.72345
7,617.64923,971.6043
8,643.27234,931.6244
9,686.0259,816.1037
10,724.1985,689.1759
11,723.1643,625.6535
12,673.3785,640.27234
13,609.09717,714.1727
14,576.7197,827.8705
15,589.36084,932.8757
16,620.8568,977.24115
17,640.65356,969.5767
18,644.515,953.96466
19,647.6604,953.418
20,666.82275,963.53766
21,707.2545,969.82806
22,746.22156,967.6508
23,749.77844,965.53125
24,712.5913,970.3031
25,660.5096,981.3345
26,626.2892,994.0027
27,628.0537,1002.45966
28,658.3345,1004.8575
29,695.6563,1004.9121
30,726.5154,1007.36084
31,751.37805,1014.66516
32,773.39856,1025.2466
33,790.37354,1035.4376
34,797.2216,1042.8898
35,792.67163,1045.1494
36,786.70123,1041.9558
37,792.02747,1038.8751
38,805.866,1040.0082
39,816.0732,1043.7793
40,817.72015,1047.7261
41,813.527,1048.7742
42,809.57837,1045.0812
43,811.3295,1041.16
44,819.9829,1043.2228
45,833.00244,1050.316
46,842.8255,1054.4386
47,841.0448,1050.451
48,829.6812,1043.3043
49,819.4067,1041.4519
50,817.34235,1047.9672
51,823.0706,1060.485
52,832.63776,1073.4271
53,841.97437,1081.6996
54,848.4239,1085.261
55,852.47644,1086.5732
56,857.02313,1086.3667
57,862.8042,1084.9263
58,866.93616,1083.0298
59,867.3916,1080.8059
60,866.03455,1077.8965
61,866.2592,1074.7354
62,869.5045,1072.3048
63,873.75507,1069.7257
64,874.5759,1065.1718
65,867.6828,1059.4352
66,852.1853,1054.4574
67,833.84796,1050.6252
68,822.0341,1048.0944
69,821.24774,1048.0695
70,828.675,1052.1664
71,837.83813,1059.5455
72,842.5671,1063.9337
73,841.3939,1057.6587
74,838.489,1043.0481
75,837.88995,1033.5569
76,838.9857,1033.702
77,839.67584,1033.6007
78,839.9704,1031.193
79,839.0983,1030.9996
80,834.5279,1028.919
81,827.7233,1026.7472
82,824.6851,1036.9016
83,828.62854,1058.2914
84,836.0241,1075.0631
85,840.3792,1080.838
86,839.52075,1082.9971
87,838.0238,1085.2274
88,841.014,1080.5597
89,847.72345,1064.2258
90,853.8236,1044.9347
91,858.1803,1034.5148
92,862.4172,1032.9016
93,865.33527,1034.0934
94,863.9064,1038.651
95,857.7001,1050.399
96,848.5933,1065.4818
97,840.10767,1074.8256
98,837.1603,1076.859
99,839.9993,1076.0116
100,840.9298,1073.5626
101,834.81396,1070.9142
102,827.0574,1071.9353
103,825.3285,1076.1204
104,830.5855,1077.2036
105,837.5033,1070.3489
106,840.0475,1058.1658
107,837.86615,1048.7839
108,835.14355,1047.4874
109,832.93054,1051.4543
110,828.454,1054.3368
111,822.74005,1054.4064
112,821.7766,1054.8722
113,827.0767,1056.9337
114,832.80975,1057.7039
115,834.63513,1055.0414
116,833.7532,1049.379
117,833.2548,1039.795
118,835.65686,1022.7254
119,841.5196,1002.7497
120,848.9297,996.84656
121,855.2204,1010.3017
122,859.57916,1025.4067
123,863.97473,1028.1534
124,869.55066,1022.2023
125,874.04895,1015.4527
126,875.98645,1012.2078
127,877.0745,1013.65326
128,878.1814,1017.1783
129,878.347,1018.98834
130,877.92346,1018.6309
131,878.12714,1017.9604
132,879.42175,1017.615
133,881.8754,1015.8618
134,884.53955,1010.8601
135,885.23,1005.4377
136,882.2328,1004.2455
137,875.6141,1006.68304
138,868.0667,1009.6328
139,864.1428,1011.8416
140,866.03143,1013.44293
141,871.23413,1015.5297
142,875.9888,1017.86414
143,879.0576,1017.8697
144,881.1705,1014.77106
145,882.5896,1012.04
146,884.2038,1013.4253
147,888.90845,1018.26874
148,894.6362,1020.21857
149,892.0685,1013.3362
150,879.3535,1005.14
151,866.16595,1009.5121
152,858.0773,1025.0964
153,851.587,1040.8467
154,842.03375,1051.6884
155,829.52594,1057.3843
156,818.76575,1058.9401
157,811.77344,1056.9696
158,805.52313,1051.796
159,799.36597,1047.1367
160,797.51904,1047.5039
161,802.60864,1051.5664
162,810.4889,1054.6854
163,812.55786,1055.9965
164,804.44464,1057.8535
165,791.8751,1060.4965
166,784.5267,1061.9288
167,786.2601,1060.9114
168,795.3036,1055.2043
169,805.3597,1043.4406
170,806.5424,1033.2797
171,800.53503,1033.9009
172,801.55804,1039.9712
173,812.59204,1039.3754
174,824.19336,1031.3307
175,831.0288,1024.5894
176,832.6274,1024.2195
177,830.68585,1027.6245
178,829.5509,1030.064
179,831.3531,1029.2662
180,833.5757,1025.5571
181,833.2007,1019.977
182,829.14526,1013.1133
183,822.4921,1005.8974
184,816.53973,1000.58057
185,813.8051,999.7061
186,812.9253,1003.8248
187,810.6668,1010.29626
188,806.3655,1015.0452
189,802.6164,1016.2432
190,802.7952,1015.7957
191,808.30396,1017.04114
192,815.56537,1021.31854
193,817.8177,1026.8512
194,812.9864,1031.2318
195,804.95087,1032.7646
196,796.5262,1026.9435
197,787.34204,1008.29895
198,776.9222,981.38434
199,767.6176,959.8926
200,764.042,952.011
201,767.7364,957.45355
202,775.868,974.1061
203,784.5473,997.45087
204,790.2751,1019.1765
205,790.3563,1033.4755
206,782.5069,1042.8013
207,766.17523,1052.9635
208,747.54004,1063.9902
209,737.57935,1071.2336
210,739.6538,1073.4006
211,744.4392,1073.2424
212,741.1936,1072.5303
213,731.071,1071.3027
214,726.03503,1069.2384
215,734.5524,1065.1766
216,751.5547,1059.2032
217,764.1748,1054.4044
218,766.4367,1051.89
219,763.61505,1048.1099
220,762.30493,1041.2505
221,765.1761,1036.4716
222,772.81055,1040.3613
223,781.94965,1050.2328
224,786.5355,1056.0659
225,784.29974,1053.5651
226,777.9121,1045.635
227,770.73834,1034.4844
228,765.1814,1021.99756
229,763.6874,1013.2041
230,767.42664,1012.32306
231,769.6556,1017.7209
232,758.30927,1023.7766
233,735.7606,1026.4973
234,720.3355,1026.0365
235,721.91473,1024.6556
236,736.2641,1023.97986
237,758.1934,1024.5234
238,782.4276,1026.6622
239,799.67163,1030.7794
240,805.0036,1035.9635
241,806.07996,1040.3424
242,812.4535,1043.794
243,822.1518,1047.5258
244,827.72736,1050.8527
245,827.3486,1052.2385
246,824.52997,1053.2637
247,822.2543,1057.5591
248,819.8282,1065.5872
249,813.9313,1074.4492
250,800.345,1083.9232
251,778.1318,1099.6257
252,754.3159,1124.7662
253,736.69025,1145.7246
254,724.3403,1139.7542
255,715.2213,1109.5825
256,716.0753,1087.7952
257,735.13165,1090.1532
258,768.88324,1096.2633
259,800.14,1089.9628
260,811.1066,1079.5684
261,801.02734,1072.4586
