frame,x,y
0,606.69055,649.47473
1,698.30566,825.42096
2,753.4976,916.90063
3,734.1158,927.66174
4,671.8825,910.20935
5,623.155,900.31354
6,592.515,897.1116
7,580.78436,859.6673
8,611.9277,753.69366
9,675.35284,627.28613
10,725.8548,560.6988
11,746.5029,552.7253
12,752.42255,559.7232
13,755.0762,576.61774
14,758.08484,604.28705
15,764.2188,622.12366
16,772.56104,628.20276
17,782.55695,660.27655
18,804.0947,747.2717
19,847.19165,852.43604
20,901.03705,912.9854
21,935.15265,924.456
22,922.3137,924.7384
23,856.2672,924.98785
24,755.45197,912.06195
25,657.36664,885.8099
26,589.8893,859.3714
27,553.1285,839.6905
28,535.3778,825.7422
29,524.36334,821.0392
30,517.4679,831.272
31,526.479,847.8332
32,554.38794,836.8617
33,586.0421,753.6612
34,609.3041,609.55634
35,622.88947,502.06512
36,627.1806,506.01068
37,626.6132,587.32556
38,632.24805,673.2855
39,648.6986,730.4982
40,668.7451,758.37256
41,683.6342,769.377
42,693.21136,792.3477
43,715.0139,851.9905
44,771.1039,918.13293
45,852.53406,925.1303
46,932.9127,860.0527
47,1006.23663,782.6201
48,1050.9485,748.2672
49,1019.43835,749.20746
50,939.7175,756.56165
51,920.17755,774.19366
52,1008.13965,810.91125
53,1139.5848,852.34357
54,1222.6398,886.2636
55,1228.1697,912.0111
56,1173.2555,914.7997
57,1045.0592,873.55743
58,846.2279,806.16534
59,662.5415,756.33875
60,580.39984,738.60815
61,603.1579,752.80414
62,681.08466,805.9531
63,756.8161,869.9649
64,811.0434,899.5834
65,880.6759,896.49426
66,968.7147,882.42706
67,1008.065,867.0658
68,978.13934,852.235
69,926.311,819.3134
70,854.0456,773.3173
71,743.334,762.53436
72,658.32996,803.14996
73,664.73413,863.8292
74,721.5442,911.667
75,758.80066,934.0322
76,778.2357,933.9475
77,815.1841,892.1979
78,870.871,778.5096
79,912.2293,634.2009
80,909.02734,547.2385
81,861.7291,535.15216
82,794.9136,550.9387
83,744.13934,565.8743
84,735.84265,579.5964
85,757.43854,592.32623
86,777.37616,600.5262
87,787.8149,605.06665
88,800.7697,611.0193
89,825.6325,619.6136
90,858.46344,623.23206
91,863.6351,622.1041
92,786.7296,649.17816
93,640.9401,732.99445
94,529.2389,829.76654
95,518.0743,869.71844
96,567.3517,858.53455
97,612.4185,850.7721
98,631.8421,864.6898
99,638.2925,879.9445
100,653.00385,879.5267
101,682.03235,868.8362
102,709.4693,863.1537
103,727.4659,855.9191
104,755.8084,820.14404
105,804.70886,765.8403
106,853.20764,743.0745
107,883.10736,760.77856
108,892.122,777.14056
109,878.1491,769.1726
110,845.9561,753.06635
111,812.94385,754.1006
112,783.98785,779.7302
113,747.4719,816.8613
114,709.2033,847.05963
115,692.94745,862.12213
116,700.4374,871.50397
117,705.9066,885.38806
118,696.8196,897.5173
119,687.6194,900.6294
120,690.00037,898.20593
121,700.74133,894.247
122,711.93713,891.3282
123,716.39856,893.25696
124,718.9691,898.5485
125,735.7161,899.49457
126,761.2863,890.8626
127,763.34235,881.55396
128,737.50507,890.6423
129,732.1335,915.8316
130,775.6822,931.1499
131,819.30945,929.485
132,806.75415,924.4793
133,751.9014,915.26404
134,701.4041,894.2314
135,674.1499,872.2108
136,662.64087,862.8947
137,658.0241,864.46405
138,656.79266,871.1362
139,656.0273,879.37524
140,653.743,884.54803
141,650.6259,884.9997
142,649.7773,882.523
143,653.77094,878.4908
144,660.47943,874.35565
145,666.6143,872.1018
146,672.7556,871.6657
147,679.028,871.36035
148,682.365,870.6848
149,682.14954,868.6043
150,682.5457,861.90137
151,687.5695,851.3903
152,694.29236,846.06744
153,693.58514,851.78204
154,682.4878,860.80536
155,670.33356,865.44037
156,668.6869,870.61084
157,678.13745,877.81323
158,687.83203,875.7239
159,692.8579,860.60803
160,701.1731,843.9608
161,712.01575,836.1932
162,709.3069,840.5927
163,689.13873,854.6671
164,669.3001,868.79913
165,663.977,871.20636
166,668.74927,858.98474
167,673.1795,844.41595
168,674.9417,840.7731
169,677.87415,844.7796
170,682.3803,848.71857
171,684.2954,856.65955
172,682.5126,871.14526
173,679.6951,881.1334
174,676.93134,876.31494
175,675.20966,860.13666
176,676.4063,843.2515
177,679.50745,831.94653
178,683.19037,825.5213
179,688.52014,821.72046
180,692.2961,819.92145
181,687.44916,818.9398
182,675.53314,817.5117
183,666.9241,816.70996
184,666.3345,818.1757
185,669.5604,822.2022
186,672.20447,827.8586
187,672.1543,833.3019
188,669.916,838.198
189,670.40765,844.242
190,676.86255,850.6383
191,684.644,853.92255
192,687.3235,854.0515
193,685.52826,854.46796
194,685.1521,855.92316
195,689.25665,856.5209
196,694.506,856.35596
197,696.13196,857.42664
198,693.3929,862.34106
199,688.2661,873.18365
200,684.89197,885.3951
201,689.50854,887.8294
202,702.5967,876.4532
203,714.78687,861.43463
204,719.1268,854.6873
205,717.6368,856.1142
206,711.9725,857.9731
207,705.3159,857.2011
208,706.5623,856.6922
209,719.02844,858.0085
210,735.85236,858.3486
211,747.11865,855.4601
212,748.35675,851.0623
213,744.2007,846.8771
214,740.83167,841.4485
215,739.402,833.9198
216,738.4915,829.161
217,736.8506,833.42395
218,734.0164,843.96704
219,729.77,851.1065
220,723.04285,851.9413
221,715.7389,850.8096
222,718.25464,846.2413
223,737.9896,834.6013
224,761.2734,822.50885
225,768.86285,816.7419
226,765.8297,810.94135
227,771.7033,798.0081
228,786.7434,786.6778
229,792.3695,789.9015
230,783.1262,803.7327
231,772.2524,814.9246
232,769.5019,819.8231
233,771.636,822.61847
234,768.1639,824.4089
235,755.44037,822.3465
236,742.1161,817.61316
237,734.95544,816.9744
238,735.8269,822.2301
239,751.1394,822.6187
240,779.70276,798.7436
241,775.7676,736.85657
242,672.64886,651.9151
243,508.71088,589.3358
244,420.48648,582.3294
245,451.2466,618.00586
246,523.0702,659.5832
247,576.7069,686.14966
248,610.92896,703.4247
249,640.588,724.90857
250,674.12085,753.1251
251,710.92834,781.8187
252,745.5391,802.86865
253,769.2939,809.6915
254,775.0128,804.849
255,767.38306,798.23035
256,761.1963,795.2452
257,763.87506,795.0628
258,767.04016,795.8441
259,758.5911,798.0935
260,734.278,805.4344
261,697.36206,817.0748
262,657.3946,821.04443
263,638.5168,805.50916
264,681.83936,782.70483
265,800.5,787.7062
266,928.33545,829.72186
267,973.78314,872.53503
268,930.70465,886.1431
269,877.1704,872.248
270,868.9277,843.75055
271,885.0261,816.6754
272,888.7163,802.75116
273,874.9402,800.1983
274,820.2183,802.3367
275,698.74457,805.45514
276,568.80994,804.13696
277,511.56833,796.4021
278,512.49713,790.9856
279,506.09192,792.25226
280,482.88254,789.9442
281,491.4387,776.4133
282,572.4052,765.8035
283,700.4319,781.11774
284,796.3667,816.7107
285,817.04047,841.53
286,785.008,845.68286
287,731.6772,846.0339
288,681.8034,851.27313
289,659.2278,854.8147
290,662.92365,851.1777
291,679.9715,837.14264
292,711.92236,809.6632
293,754.2261,776.73615
294,783.786,755.76733
295,786.9298,754.6057
296,775.08136,765.0538
297,762.47815,777.0712
298,746.9915,790.94354
299,725.98566,809.0128
300,710.81287,825.5875
301,710.4385,835.04614
302,717.31354,839.6653
303,717.5989,843.46295
304,708.66516,846.2181
305,700.6767,846.4172
306,700.56964,845.1686
307,703.6589,844.40875
308,702.4453,844.0842
309,697.6477,843.7534
310,697.95575,844.26917
311,707.3939,845.37335
312,719.57794,844.4833
313,728.0077,840.80035
314,729.68225,838.03815
315,720.8365,838.98346
316,708.20197,838.48224
