frame,x,y
0,639.8123,503.0407
1,846.9083,640.47485
2,962.7777,779.2377
3,976.5489,875.34155
4,917.0278,891.6826
5,830.60443,859.5224
6,766.9745,837.301
7,740.20557,839.6046
8,739.33746,839.7557
9,754.5057,817.48175
10,773.6616,782.4949
11,783.47363,754.0725
12,784.1112,736.7854
13,785.1315,726.8222
14,787.6836,725.00085
15,786.1364,735.4125
16,779.2764,757.3113
17,767.6802,783.16174
18,749.72235,806.93756
19,729.38824,826.2823
20,718.7169,837.56195
21,725.31775,839.677
22,745.2974,838.3324
23,771.47095,836.92896
24,799.9773,828.2956
25,823.9953,808.5339
26,828.85156,791.7607
27,806.87555,792.96265
28,772.19507,806.3312
29,748.02606,814.30237
30,745.8771,808.0687
31,762.0705,793.94403
32,784.7237,783.496
33,802.3137,781.0311
34,811.72595,782.0274
35,814.10626,779.3891
36,805.0865,772.7145
37,781.9759,770.9358
38,753.1781,778.4586
39,730.642,781.86285
40,722.1004,763.3174
41,733.124,731.956
42,765.3983,720.8301
43,806.2295,741.91144
44,831.9982,772.7873
45,831.2443,791.02936
46,812.51636,793.28253
47,789.5932,787.6618
48,772.24884,785.7569
49,764.7593,794.29755
50,762.3055,809.3664
51,756.2387,819.2103
52,748.24646,812.1204
53,752.88,790.1931
54,781.10254,771.9985
55,821.89124,769.99976
56,848.12115,777.5764
57,843.4662,785.4788
58,815.0866,793.8689
59,781.01434,804.7943
60,754.03107,815.7708
61,738.5135,825.5282
62,735.9037,836.8534
63,745.53766,847.4213
64,759.8852,848.70465
65,767.8958,837.55023
66,768.7065,820.65204
67,772.17456,807.4928
68,780.86145,802.03827
69,784.8666,802.1606
70,776.7305,804.18976
71,760.4227,806.11334
72,745.75037,809.4049
73,740.5058,817.6074
74,747.66583,831.55145
75,764.6087,846.62866
76,784.056,857.0847
77,799.11456,862.3443
78,806.0207,862.749
79,801.9477,854.98285
80,786.5679,840.2352
81,765.6424,825.63416
82,748.63165,816.65704
83,742.63983,816.15436
84,748.1053,822.79095
85,761.158,829.4711
86,777.85004,828.64264
87,792.2579,820.42847
88,797.83466,814.8243
89,794.2972,818.7618
90,785.5731,828.64526
91,771.98236,841.2508
92,754.1226,854.45776
93,742.8204,862.71735
94,750.39856,866.4855
95,771.3958,871.5853
96,788.05334,876.632
97,792.3955,874.7751
98,789.5174,864.1569
99,785.97705,849.4832
100,783.2547,835.9251
101,777.0351,824.5316
102,762.18945,813.1626
103,741.34216,800.7877
104,723.9078,790.1224
105,716.9052,783.64655
106,722.75903,781.75244
107,740.70667,791.0031
108,763.4187,819.4553
109,779.6412,856.76697
110,785.63586,879.23364
111,785.8194,875.2954
112,780.52423,853.1426
113,765.0832,828.9691
114,739.2754,810.6742
115,708.4119,794.18744
116,683.19366,777.28076
117,678.2848,763.6935
118,697.6708,752.9124
119,726.0168,742.3025
120,744.55426,736.581
121,749.64386,742.751
122,748.07074,759.1369
123,742.3596,775.2417
124,730.79846,782.2216
125,715.2885,784.3816
126,701.51764,794.486
127,695.33685,813.13007
128,702.26416,825.13477
129,724.74854,820.0279
130,755.4104,804.8601
131,779.8095,795.3632
132,788.7601,797.63556
133,782.5684,804.9223
134,765.4971,812.4083
135,741.52527,820.78705
136,716.6826,827.6611
137,701.853,826.8977
138,707.02356,815.1788
139,731.13306,797.36957
140,760.1244,783.7871
141,779.56146,780.9973
142,786.7149,788.90027
143,784.2691,807.1151
144,772.3216,834.2082
145,756.6073,859.4421
146,751.6379,869.6318
147,763.37506,861.1747
148,777.8284,839.3149
149,776.10364,817.7762
150,755.43616,813.03766
151,730.4792,826.915
152,718.68585,846.1725
153,726.1644,860.7152
154,744.7926,869.43805
155,764.18243,874.02783
156,780.2907,876.21564
157,788.0385,873.6119
158,778.47125,860.405
159,750.234,839.8115
160,715.767,824.19147
161,690.52515,819.7421
162,681.65424,821.9809
163,689.1534,822.4176
164,707.7616,815.0858
165,728.19293,803.75574
166,744.88306,800.4708
167,756.21094,809.83417
168,755.5426,823.20953
169,736.01794,832.49
170,704.2705,839.1819
171,677.3529,847.3633
172,668.71924,853.2104
173,680.3111,850.6725
174,701.0062,846.05316
175,717.0788,850.41034
176,727.8105,861.05133
177,739.2355,866.55475
178,746.39844,864.6137
179,738.9746,862.84894
180,719.4164,867.0696
181,702.35785,875.30634
182,700.7593,879.5827
183,716.3051,873.99084
184,738.1209,863.0301
185,752.57153,857.5132
186,755.4798,859.91504
187,749.7827,862.1199
188,735.99884,860.45807
189,714.91705,860.9249
190,694.8532,866.9843
191,686.8414,872.26953
192,694.9349,870.4153
193,714.32556,864.4511
194,738.1553,859.3785
195,761.4889,853.18097
196,774.47833,841.554
197,765.5893,825.7747
198,739.12494,813.57806
199,714.7833,814.7018
200,707.9277,830.42786
201,718.83136,849.04474
202,737.47595,857.672
203,752.87463,854.95886
204,760.70966,849.31036
205,763.5771,843.7769
206,761.1645,831.0768
207,747.5392,811.1777
208,725.38525,799.40454
209,710.39624,805.4817
210,714.1074,818.22845
211,733.51294,823.0717
212,755.3624,821.2469
213,765.83826,822.15985
214,763.2119,825.436
215,755.00714,822.09845
216,742.05927,813.45404
217,722.31683,810.1385
218,706.2103,813.86975
219,707.88873,816.331
220,725.50946,810.8865
221,745.51965,801.6173
222,759.6524,800.42487
223,765.31647,811.06464
224,757.437,822.99036
225,734.81757,825.0968
226,709.48206,819.44604
227,697.25586,817.8105
228,703.42096,823.5165
229,723.2871,825.58466
230,748.52936,818.33093
231,769.30884,812.1589
232,779.47034,816.5377
233,780.19867,826.2061
234,772.24176,831.6034
235,753.82434,831.6753
236,731.2808,831.7862
237,719.24036,837.04584
238,727.53644,847.0585
239,751.2091,855.67255
240,772.5555,859.5294
241,777.1144,861.1205
242,764.4241,860.95917
243,740.2853,857.5435
244,712.1513,854.575
245,694.0346,856.5778
246,700.40094,856.7463
247,731.88544,840.91846
248,772.77344,810.0689
249,802.3044,783.4267
250,808.3944,771.9276
251,792.3313,767.8082
252,764.7508,762.5727
253,739.92224,757.6378
254,727.3506,757.6288
255,727.58563,761.2167
256,735.972,761.6511
257,745.96924,758.7502
258,753.5516,760.7744
259,758.2052,770.14233
260,757.05817,779.2298
261,746.9038,781.27386
262,733.0179,779.01227
263,726.9036,779.4981
264,734.37775,782.9018
265,750.27966,785.9256
266,764.74396,790.0991
267,771.44696,795.28125
268,768.3169,793.8612
269,755.6653,782.3595
270,739.8343,770.54926
271,733.33716,767.724
272,744.0322,768.50793
273,765.81384,762.93463
274,784.4326,753.46826
275,792.88104,751.5684
276,795.18054,758.50366
277,793.84705,763.1062
278,784.32587,763.5584
279,766.9903,771.178
280,755.3053,787.3549
281,761.85834,799.3373
282,779.01416,800.69403
283,787.29736,800.32227
284,782.2066,806.5393
285,774.89294,811.17523
286,770.80316,803.78436
287,767.1422,791.7683
288,764.8282,786.2277
289,768.59595,782.6007
290,778.8153,775.0344
291,788.4444,773.5879
292,789.13324,788.64844
293,779.6803,810.5695
294,765.38257,820.68976
295,751.4524,815.0065
296,741.2135,805.60425
297,737.33014,802.0386
298,740.1392,800.0256
299,746.0767,791.5914
300,750.36694,779.2737
301,751.2165,772.6589
302,750.33484,774.03284
303,749.2655,775.8316
304,746.7391,773.6757
305,742.0609,772.556
306,739.9361,775.58185
307,746.34766,777.26874
308,759.18524,773.6893
309,769.6355,770.02136
310,773.3847,772.78326
311,770.767,778.33203
312,759.76196,776.0726
313,742.4157,765.2501
314,728.11346,759.8061
315,724.0613,770.47125
316,732.9802,788.7122
317,752.87476,797.8459
318,774.6232,796.61597
319,788.46387,800.4177
320,790.1828,816.4121
321,779.36633,832.1332
322,758.6137,836.02625
323,735.0644,831.1238
324,717.6962,826.718
325,713.32294,828.4479
326,724.07227,834.00055
327,744.5669,837.6409
328,767.43445,835.92786
329,789.1218,827.64166
330,799.51276,815.49774
331,784.1448,804.506
332,749.7323,797.9115
333,724.4928,801.46545
334,726.5951,819.4706
335,747.1237,841.56934
336,765.65845,851.9636
337,773.732,850.70386
338,776.36774,848.94415
339,776.7912,849.25836
340,770.97345,846.05853
341,756.2421,839.2288
342,739.1206,834.9956
343,731.96063,835.9151
344,740.07745,834.4029
345,755.7981,820.63947
346,769.53406,799.65894
347,780.81586,788.1692
348,793.3137,790.32434
349,802.0514,793.4568
350,793.89996,789.9267
351,768.1004,786.4256
352,744.3813,791.5496
353,739.0735,802.8806
354,748.35223,806.9848
355,762.34064,796.2857
356,776.86206,780.4956
357,787.33234,772.26465
358,786.48016,771.73126
359,770.64825,772.9417
360,746.1294,774.9903
361,728.3105,779.7458
362,729.1662,784.548
363,747.4038,783.38416
364,772.5603,775.7357
365,793.44543,768.1012
366,803.2589,762.44995
367,801.7097,750.52966
368,793.35895,727.9381
369,782.9431,708.8311
370,772.4324,713.17316
371,765.13605,739.9122
372,768.4654,767.18585
373,783.52814,779.09406
374,798.1109,779.6163
375,798.5232,778.3554
376,783.2169,775.0014
377,762.24066,766.39777
378,746.2449,758.4945
379,738.6957,759.61816
380,739.0901,767.8297
381,747.1327,773.21423
382,759.86395,769.9211
383,769.6665,762.7101
384,770.33746,761.05493
385,762.6386,767.1788
386,751.29266,775.1467
387,741.2061,781.3311
388,737.81616,786.27576
389,747.43774,786.4427
390,772.54285,775.4217
391,803.1127,756.2719
392,819.98145,744.21814
393,813.3197,749.2166
394,790.03046,762.98444
395,762.11505,772.51135
396,739.1456,776.6585
397,731.04364,782.7287
398,745.5157,793.2582
399,777.46857,802.52704
400,808.91376,806.45374
401,829.4481,806.5691
402,845.18304,801.7357
403,854.0592,788.0387
404,838.5162,768.5411
405,796.06177,753.4502
406,749.8495,748.97473
407,726.9163,750.9611
408,737.9878,752.15027
409,771.916,749.34375
410,808.1245,742.75494
411,833.0108,738.54095
412,839.9401,746.69507
413,825.09283,766.67377
414,794.8581,783.43414
415,764.7383,785.4099
416,743.941,778.5803
417,734.1219,775.493
418,738.80695,777.6601
419,759.1476,777.3718
420,786.4743,772.01843
421,808.26465,766.4512
422,814.85986,763.8186
423,800.75336,763.5895
424,772.17255,765.2076
425,746.8899,768.5879
426,736.56287,773.43207
427,740.1993,776.5122
428,753.61426,773.0254
429,770.4961,765.7647
430,779.62177,764.256
431,773.5838,771.4247
432,756.8189,780.5156
433,740.4588,786.0548
434,733.16815,788.9431
435,737.62885,788.39124
436,752.6139,778.6739
437,773.65204,760.67456
438,789.28906,748.0966
439,787.2349,753.30316
440,768.8024,772.005
441,746.45703,789.7046
442,730.0766,799.4607
443,723.6662,803.65216
444,727.6372,801.04474
445,739.9625,787.5054
446,757.7247,769.2209
447,774.9812,759.5706
448,783.01556,763.29205
449,777.94464,773.45184
450,762.92944,781.0264
451,745.1686,783.3781
452,734.8766,786.7597
453,740.1926,797.9744
454,760.2641,812.9271
455,784.8941,821.5112
456,800.5296,820.5784
457,801.0229,812.40295
458,792.1331,798.41736
459,780.21124,784.5563
460,766.0743,780.466
461,754.3664,786.36096
462,754.3605,793.2079
463,767.5916,795.699
464,784.8823,796.6403
465,797.7454,801.87885
466,803.03357,810.6123
467,797.06146,812.6358
468,779.5321,804.357
469,759.6275,798.3329
470,746.51715,804.2834
471,743.1335,814.6784
472,751.3563,819.38513
473,768.82416,819.83185
474,785.3129,824.83325
475,791.0494,837.7487
476,783.237,850.661
477,766.7618,857.13934
478,751.54224,860.2092
479,747.34845,861.52203
480,760.4485,854.8799
481,789.297,834.47614
482,819.5807,806.71466
483,830.3532,789.0819
484,813.23737,792.7196
485,781.4377,810.4749
486,756.0207,825.923
487,748.4591,828.07666
488,755.02747,816.1776
489,763.6924,798.14484
490,766.0143,783.26495
491,761.52313,774.0566
492,753.17645,769.72095
493,742.0975,771.842
494,729.1415,780.7816
495,722.4007,792.25995
496,730.1739,801.65784
497,744.31525,806.67896
498,751.48676,801.6344
499,753.7205,780.3132
500,758.83685,750.4783
501,767.9208,731.2457
502,777.1635,731.98236
503,776.56744,745.3786
504,759.72217,759.6187
505,737.5307,768.47845
506,724.0856,774.25757
507,720.13745,781.81445
508,722.69696,787.8615
509,733.44604,783.95557
510,751.22253,768.74786
511,770.3182,751.5827
512,785.80066,744.7953
513,791.79974,751.7892
514,782.45496,764.78455
515,760.6358,774.55615
516,736.4722,778.53345
517,717.79926,781.1861
518,709.9379,786.1581
519,716.50726,791.2077
520,733.41156,794.8157
521,749.692,798.3707
522,757.445,803.30975
523,757.2925,810.45557
524,752.9965,815.0021
525,746.3818,808.2525
526,741.709,789.6036
527,744.4165,768.4747
528,753.97504,754.057
529,766.30646,749.32007
530,774.2278,752.4755
531,770.80286,759.0345
532,765.0443,763.71063
533,774.434,763.52527
534,798.6728,760.20544
535,822.1685,758.6204
536,832.6738,763.5809
537,825.8552,777.676
538,805.265,797.1668
539,779.6429,811.8002
540,757.9038,814.37933
541,750.84204,806.5967
542,764.7475,794.6367
543,788.6813,784.4575
544,804.4302,778.8984
545,806.3769,777.4008
546,798.34485,778.6462
547,781.2087,781.0347
548,756.5523,782.4032
549,734.87714,782.06323
550,730.4357,780.8173
551,748.2788,777.64307
552,777.4768,770.9654
553,800.01953,763.6105
554,807.2277,762.3559
555,799.846,770.8407
556,779.7616,784.6226
557,753.41156,796.7035
558,730.9945,804.5235
559,719.0498,807.6737
560,722.65533,803.7882
561,744.82043,792.2372
562,777.31616,779.09674
563,804.04315,773.5333
564,815.8818,779.07904
565,812.73883,789.0839
566,796.9422,792.74194
567,775.5175,786.49506
568,759.2984,776.6959
569,753.4276,769.2786
570,754.34784,763.07996
571,753.35754,758.63885
572,744.22894,762.1757
573,733.6328,774.152
574,737.644,785.2751
575,761.14777,789.63336
576,788.94165,791.54645
577,804.4432,796.7541
578,805.36707,807.3327
579,795.0273,818.3865
580,776.4909,815.96155
581,756.69446,795.8843
582,741.7151,776.908
583,734.60724,776.44574
584,737.37396,788.5001
585,745.86536,797.37244
586,753.6598,799.27985
587,762.12085,802.9465
588,773.06903,813.29047
589,777.98785,822.42474
590,769.58624,820.2627
591,756.6635,809.597
592,753.80365,805.2236
593,762.5424,815.2946
594,771.33716,829.7095
595,769.827,833.4845
596,758.30426,825.4748
597,743.7878,815.34314
598,731.9823,808.57965
599,727.95245,804.41986
600,738.33936,798.02966
601,763.72485,779.4168
602,793.00916,745.572
603,812.31323,711.603
604,814.6657,693.27875
605,801.0554,687.90094
606,781.25653,686.9061
607,767.32153,690.5834
608,762.7592,701.6158
609,767.05334,720.60974
610,779.9746,745.53906
611,796.1596,767.7429
612,808.7774,777.62134
613,816.0673,775.0339
614,819.28235,769.62354
615,818.0906,770.4038
616,809.2243,775.6571
617,790.0079,779.50867
618,762.8157,783.1953
619,737.34973,788.9111
620,727.301,792.5506
621,738.27576,789.0268
622,760.4172,777.8208
623,779.58844,764.629
