frame,x,y
0,895.4315,1082.2966
1,819.4132,936.36316
2,681.4121,808.7635
3,561.88776,726.2424
4,570.3753,688.6903
5,705.217,671.54
6,855.08673,666.38086
7,920.04694,688.0231
8,920.74225,747.0309
9,932.7143,829.3791
10,986.48694,912.34406
11,1055.7589,985.0077
12,1066.7533,1028.2533
13,981.589,1011.96295
14,871.02625,948.86115
15,820.7507,895.1574
16,831.9996,875.81573
17,858.24524,873.4091
18,870.4932,884.4896
19,870.9487,923.14746
20,873.87054,976.59406
21,877.77686,1009.4427
22,863.9208,1008.56
23,828.4524,989.57623
24,787.3283,975.5883
25,746.99786,981.12897
26,708.14606,997.76556
27,686.45526,1009.8752
28,696.0652,1024.4675
29,728.12585,1050.7795
30,768.5986,1072.5814
31,818.8657,1074.3751
32,870.51086,1063.561
33,880.8101,1047.6241
34,817.2738,1021.4162
35,720.1616,989.2206
36,664.80646,965.5865
37,665.28125,948.6055
38,682.2244,929.1325
39,700.35736,922.2886
40,732.71155,952.632
41,778.27936,1007.8325
42,827.88654,1043.6725
43,888.55774,1042.1027
44,949.0176,1028.4514
45,954.0319,1030.2041
46,875.41815,1046.1234
47,782.90326,1048.1919
48,789.7696,1003.1714
49,914.2866,910.2458
50,1040.8186,814.45374
51,1070.835,759.5572
52,1037.8707,743.6224
53,1006.79614,740.9578
54,980.7393,743.6519
55,951.69904,762.3604
56,925.63837,799.75525
57,898.8714,841.0606
58,869.6688,871.56683
59,847.65375,889.2576
60,841.28674,899.00366
61,851.1098,908.1502
62,866.2996,924.6247
63,866.9807,950.14075
64,845.9879,978.0553
65,824.98303,998.32764
66,831.4334,1006.09973
67,861.637,1008.02997
68,875.1682,1017.02246
69,835.6642,1037.0433
70,759.29504,1053.7578
71,693.4142,1050.8029
72,660.6233,1031.3325
73,669.53735,1006.92365
74,728.48883,976.703
75,805.29333,935.16174
76,845.5542,889.6446
77,843.40717,854.57733
78,836.70215,837.5241
79,850.7443,837.33234
80,876.299,846.8982
81,882.9833,864.5829
82,850.7551,901.46967
83,799.18726,957.79486
84,770.2341,1008.16003
85,778.00433,1031.8994
86,800.23645,1034.1913
87,813.8677,1028.5098
88,815.3217,1022.77466
89,813.5316,1019.72943
90,817.87726,1016.2783
91,829.38135,1008.29486
92,840.20294,999.48126
93,842.0857,998.5124
94,834.4307,1007.2307
95,826.6758,1018.5175
96,828.76196,1024.6335
97,840.7753,1021.547
98,853.6531,999.6441
99,837.42706,939.7545
100,753.83636,844.1801
101,631.6301,753.3946
102,562.5731,702.70624
103,577.37335,690.1181
104,620.72595,694.83044
105,652.22577,700.40356
106,680.6032,701.8621
107,717.0918,702.3959
108,753.1631,705.0982
109,775.6646,709.0257
110,782.0337,711.54694
111,779.4939,711.3513
112,774.25446,709.905
113,766.1415,710.3085
114,756.6451,713.1693
115,755.83234,715.616
116,770.41486,716.0248
117,789.3113,716.2355
118,781.9225,717.6758
119,712.70166,719.5528
120,588.479,720.92065
121,475.89957,720.0946
122,432.74997,714.66125
123,474.69122,707.05707
124,599.4481,706.0999
125,751.85474,715.8997
126,841.47144,729.3518
127,852.69794,740.14526
128,839.44617,747.88873
129,833.3199,741.8837
130,829.1066,703.94745
131,814.945,645.3732
132,776.545,606.5921
133,706.7778,605.7884
134,635.36096,625.68176
135,607.7939,645.79517
136,631.59265,658.1399
137,676.6222,661.1925
138,708.80865,655.7915
139,719.5389,647.01624
140,735.0623,643.4546
141,789.2144,659.31824
142,887.25287,709.1858
143,994.76447,782.7897
144,1067.9016,854.2523
145,1086.5614,918.4052
146,1061.6366,974.52814
147,1031.2192,1007.57825
148,1025.665,1015.2488
149,1039.6171,1011.5733
150,1049.743,1006.41956
151,1037.9099,1005.1739
152,1009.31964,1008.9899
153,1000.31744,1006.38794
154,1047.2722,984.98413
155,1122.2325,954.84265
156,1132.4391,929.38165
157,1029.7045,893.10406
158,874.49164,836.25934
159,767.8939,783.84015
160,756.69977,753.74
161,804.74164,739.7224
162,841.8419,729.7888
163,831.23047,708.17926
164,792.63214,674.2403
165,761.98615,651.66254
166,741.6386,650.8846
167,720.4305,658.01373
168,704.982,665.6351
169,709.16907,677.51825
170,754.63336,694.3608
171,845.3623,713.4432
172,930.96075,728.7766
173,962.4318,734.5279
174,950.5676,734.2615
175,927.13934,734.28375
176,905.56165,731.5828
177,904.28436,718.9132
178,950.78534,694.816
179,1022.9659,665.30505
180,1049.4738,639.10205
181,1008.1004,623.5279
182,957.05774,634.0931
183,948.0257,689.92346
184,958.68884,773.13293
185,939.2077,833.49945
186,883.6964,853.1567
187,808.5547,852.2633
188,720.6948,839.2732
189,641.3282,811.58234
190,602.5294,787.6332
191,614.5731,790.7006
192,671.8189,813.7957
193,767.9103,831.0733
194,864.8254,828.80975
195,903.832,814.07916
196,896.1668,808.5215
197,924.4596,833.32263
198,1019.561,881.25037
199,1114.681,912.8241
200,1144.9437,904.473
201,1119.4348,873.7604
202,1072.3369,848.12665
203,1015.51764,853.5638
204,955.22205,911.07104
205,897.9864,999.1002
206,848.7442,1064.863
207,826.32104,1085.1978
208,840.46204,1062.2439
209,833.7976,987.19574
210,731.2339,868.2465
211,592.5198,757.9513
212,560.0136,702.3028
213,639.5712,694.6556
214,723.5045,706.61945
215,762.6996,727.53864
216,775.2436,757.4326
217,775.67,792.79083
218,768.4609,830.49835
219,766.51215,865.87854
220,778.20386,889.2268
221,790.7176,896.98047
222,788.64307,895.7603
223,786.2031,891.4204
224,822.0619,885.3823
225,911.07465,882.5063
226,1014.2893,895.1577
227,1060.1648,930.103
228,1010.87634,971.3302
229,914.52625,995.0545
230,847.7083,1001.4572
231,825.06995,1008.5116
232,811.0744,1019.5108
233,782.6239,1021.0058
234,747.21484,1010.7314
235,722.828,1001.8132
236,730.3821,998.4452
237,799.53455,989.55597
238,928.6745,970.04297
239,1043.5773,956.38293
240,1078.0623,966.8378
241,1060.3186,992.71814
242,1035.335,999.6829
243,969.8324,949.464
244,817.7807,840.4244
245,644.31586,730.9011
246,571.48126,685.68567
247,608.5315,710.3298
