frame,x,y
0,760.34894,805.8725
1,759.45044,804.68713
2,758.3062,803.0905
3,757.26556,801.4646
4,757.19946,800.7451
5,758.46204,801.3033
6,759.6034,802.22217
7,758.2218,802.032
8,755.1123,800.381
9,758.2934,798.10535
10,775.5693,795.588
11,799.2889,793.32
12,809.4244,794.4556
13,791.5091,800.4561
14,766.07904,798.54144
15,800.99805,767.8401
16,918.61163,713.76215
17,1026.6373,672.37305
18,1044.1594,665.13226
19,998.68634,681.891
20,947.9578,712.9168
21,920.09973,772.2743
22,920.7666,875.81885
23,929.56824,990.3877
24,917.36725,1051.3794
25,884.9973,1045.7505
26,854.95715,1016.3291
27,835.19714,999.61
28,820.1144,1003.896
29,810.90625,1018.25323
30,812.0849,1025.9711
31,817.596,1020.3959
32,814.4645,1003.7396
33,795.9893,980.21
34,768.26965,956.35425
35,744.9096,931.1014
36,733.5595,882.1142
37,730.90015,789.4066
38,729.1932,687.3267
39,722.41675,640.2401
40,712.20526,659.6109
41,707.67566,708.0237
42,710.6227,752.7391
43,711.6044,775.90717
44,707.68066,770.7225
45,704.9469,734.63617
46,703.337,668.0511
47,699.7227,593.4656
48,698.7215,545.97656
49,703.4149,533.8886
50,702.6565,538.87427
51,683.117,545.03326
52,654.45215,547.2634
53,641.7359,547.95496
54,651.36456,551.27527
55,668.8907,556.04974
56,682.13763,558.7398
57,687.5816,558.87335
58,687.23804,556.46075
59,688.28345,550.756
60,699.8915,545.7749
61,727.5733,547.887
62,767.91437,554.96545
63,809.841,557.0538
64,842.0646,547.62146
65,856.6876,532.71814
66,850.93475,533.05865
67,828.7825,564.0186
68,797.23517,604.6625
69,764.3592,617.02246
70,742.2436,610.687
71,743.99774,653.12885
72,768.51575,785.3193
73,792.8571,949.90155
74,799.6114,1053.023
75,802.2061,1068.538
76,816.2605,1036.8186
77,829.2829,1007.64496
78,824.8366,1006.202
79,807.97437,1026.7443
80,793.69257,1049.2302
81,790.1148,1058.9657
82,794.74713,1055.326
83,801.33466,1047.7168
84,807.83905,1044.9751
85,815.791,1049.3297
86,825.6731,1055.4382
87,835.6609,1055.5116
88,844.25574,1047.5186
89,850.8646,1036.7211
90,852.8435,1033.0696
91,847.13446,1045.3833
92,835.3678,1068.8927
93,821.5859,1084.5272
94,806.69434,1078.0049
95,791.0997,1054.0201
96,778.3269,1031.2007
97,772.59216,1025.7219
98,777.2844,1039.5602
99,791.9736,1062.6455
100,807.8917,1082.6029
101,814.6788,1093.4166
102,811.2842,1095.895
103,804.04095,1092.8579
104,798.4653,1089.1534
105,797.51715,1090.3517
106,805.1161,1089.0564
107,822.17,1056.5858
108,835.1267,973.5646
109,826.3609,863.3905
110,803.5087,766.3447
111,799.88135,704.69354
112,834.60284,685.57184
113,882.5254,701.977
114,906.712,730.1841
115,903.7592,737.8242
116,887.7297,703.71045
117,861.87476,645.48926
118,824.8396,605.85455
119,782.6447,608.86566
120,747.489,653.57025
121,728.221,721.8214
122,724.9014,787.16736
123,730.2795,838.6934
124,738.7397,877.6703
125,752.60583,914.7185
126,767.81165,976.70844
127,768.12427,1061.4775
128,752.2161,1120.642
129,740.5888,1128.2339
130,743.50635,1110.0636
131,751.8111,1094.0619
132,758.7965,1081.3546
133,766.43195,1064.8806
134,773.9682,1044.5447
135,776.19543,1024.2849
136,773.20306,1006.7377
137,772.2306,992.904
138,778.1942,984.29816
139,788.5336,982.1415
140,796.7989,985.5739
141,799.0261,993.3861
142,800.05615,1009.4353
143,808.31415,1039.8722
144,823.83545,1079.1211
145,843.6341,1112.1206
146,866.1046,1132.7612
147,883.5848,1147.0221
148,887.1971,1154.9688
149,865.4358,1128.3234
150,807.3022,1033.5281
151,734.78143,898.5143
152,689.71136,799.14
153,678.7511,766.247
154,681.3335,770.9869
155,689.3093,783.94104
156,702.814,797.99023
157,712.57214,814.1193
158,709.04877,833.4567
159,700.0189,859.5425
160,700.7296,893.8327
161,711.0665,928.903
162,719.28735,955.20966
163,720.4085,969.38446
164,717.4298,972.0751
165,713.78235,966.9982
166,715.07056,964.126
167,727.38257,973.2256
168,746.1088,990.07733
169,764.05273,1000.5434
170,787.1196,999.9807
171,818.78284,995.448
172,848.83844,992.6228
173,868.6938,991.8749
174,876.1889,993.506
175,873.9144,999.0949
176,869.6958,1007.0804
177,868.3523,1013.48773
178,866.8835,1018.08093
179,860.29767,1024.0836
180,849.9098,1033.5477
181,842.90424,1045.5724
182,842.2566,1055.8276
183,843.5512,1059.248
184,842.6538,1055.6414
185,840.0651,1049.8773
186,837.5903,1046.4758
187,835.87573,1046.3605
188,835.98193,1047.9235
189,837.22107,1049.2635
190,829.83026,1050.102
191,802.31335,1052.2102
192,763.27997,1056.4564
193,731.0592,1059.5333
194,703.6241,1056.1093
195,674.0875,1045.9805
196,654.439,1036.1919
197,654.6751,1033.4674
198,667.1706,1036.3726
199,683.037,1035.0525
200,701.76337,1020.8434
201,723.38434,996.60284
202,743.76935,972.64935
203,757.57214,955.93243
204,761.62897,946.77563
205,757.4203,941.5585
206,751.74835,937.32245
207,751.75464,934.08264
208,757.5336,932.4621
209,763.7633,932.0931
210,766.13635,931.6524
211,760.3079,927.8823
212,745.056,920.7045
213,735.5508,924.87726
214,754.6115,959.35284
215,799.1066,1016.1948
216,836.86945,1065.7698
217,841.0412,1088.5717
218,815.441,1085.3062
219,786.5461,1071.6215
220,767.00665,1062.1356
221,745.1441,1058.1588
222,719.17236,1055.0786
223,705.4984,1050.0225
224,710.89825,1043.9897
225,725.7347,1040.7948
226,738.43524,1042.3884
227,744.00684,1047.5405
228,744.64264,1053.3898
229,744.89844,1057.0342
230,746.13544,1056.6124
