frame,x,y
0,877.99493,781.5187
1,874.92566,782.00464
2,876.11896,782.8001
3,881.954,784.02765
4,887.03143,785.77704
5,887.9925,787.4793
6,887.51,788.16486
7,888.1196,787.90497
8,889.2737,787.3663
9,889.7674,786.56335
10,889.1361,785.8252
11,887.4407,786.07416
12,886.1575,787.0203
13,887.0293,787.39764
14,888.7068,787.0658
15,888.8779,787.022
16,887.38214,787.62823
17,885.38104,788.1852
18,884.8472,788.2349
19,885.351,788.3276
20,883.68536,788.808
21,881.2671,788.86346
22,882.7386,787.9174
23,886.60693,786.5546
24,888.23486,785.8473
25,888.2085,786.5789
26,889.03076,787.8861
27,889.1874,787.64667
28,886.38916,785.79913
29,882.6652,784.64886
30,882.0959,785.2957
31,885.0549,786.7475
32,887.9858,787.80634
33,888.0221,788.06647
34,885.3392,787.99036
35,882.3751,788.2617
36,881.18787,788.8811
37,881.529,789.16504
38,882.99524,788.8559
39,885.8345,788.562
40,888.6832,788.6042
41,889.6889,788.5455
42,888.98505,787.90045
43,887.28076,786.851
44,884.64935,786.1801
45,882.0974,786.0805
46,880.7215,785.9298
47,880.46985,785.66394
48,882.3813,785.9871
49,887.0314,787.0799
50,890.2512,788.31744
51,888.6275,788.73804
52,886.46014,787.64606
53,887.76166,785.8842
54,889.86725,784.9366
55,891.1769,784.7669
56,892.6221,784.7667
57,892.7957,784.8202
58,890.427,784.62805
59,885.9966,784.3836
60,880.7001,784.7104
61,876.9582,785.0313
62,875.5843,784.66797
63,873.3313,784.61725
64,867.6147,785.7242
65,861.48517,787.0594
66,860.3411,787.3369
67,865.3525,786.49347
68,872.553,785.7348
69,877.5793,785.8727
70,879.541,786.02545
71,880.00085,785.34924
72,880.2763,784.7321
73,881.0746,785.0302
74,881.36804,785.74445
75,878.8922,786.55005
76,875.8443,787.5368
77,876.56805,788.15466
78,879.3882,788.01447
79,880.58167,787.661
80,880.53503,787.80023
81,880.29865,788.40845
82,879.8657,788.64905
83,879.64215,788.13855
84,879.05,787.635
85,877.2887,787.3582
86,875.03204,786.2828
87,872.93774,784.23505
88,871.6253,782.87506
89,872.0652,783.4341
90,873.71796,784.4854
91,874.88934,783.6758
92,875.4427,781.49316
93,876.0404,780.7018
94,873.8241,781.8456
95,862.6961,782.3788
96,841.16644,780.94037
97,818.96857,779.57
98,810.0796,780.34546
99,817.46045,782.5517
100,832.27795,784.5196
101,846.0531,785.71515
102,855.81995,786.53375
103,860.8775,787.6307
104,861.301,788.8794
105,861.8529,789.09546
106,870.0367,787.99255
107,884.3295,786.99884
108,892.00305,787.1103
109,885.6888,787.71844
110,875.0364,788.03284
111,872.3657,788.1436
112,876.1983,788.3104
113,878.82526,788.1525
114,878.9072,787.39374
115,878.31464,787.27454
116,875.62415,788.7406
117,871.81744,789.1875
118,871.47766,785.6081
119,873.5061,779.60565
120,875.9919,775.52466
121,881.10474,775.78235
122,885.31915,778.7621
123,883.2475,780.98694
124,878.64594,781.73737
125,876.885,783.3233
126,877.0711,786.34125
127,877.6873,788.2149
128,878.3458,787.5204
129,876.89954,786.24713
130,871.4175,786.67255
131,864.31476,788.626
132,862.51733,790.7629
133,867.6756,792.4265
134,872.7096,793.3111
135,874.5018,792.99286
136,875.89026,791.5928
137,876.6304,790.1235
138,875.26556,789.5438
139,873.4065,789.5788
140,873.34033,789.3048
141,874.7133,788.88055
142,874.3278,788.72577
143,871.94934,786.5868
144,873.78754,780.52936
145,882.4972,775.61224
146,888.367,778.1588
147,882.71063,784.9486
148,872.3945,788.00903
149,867.5105,785.13
150,868.6737,779.5679
151,874.72,774.805
152,885.6477,773.04224
153,896.1271,774.8318
154,900.19995,778.14923
155,901.58466,779.78656
156,906.6043,777.1447
157,911.1415,769.5201
158,909.8492,760.8472
159,909.8448,758.3135
160,920.2261,764.29724
161,933.6343,774.18555
162,931.58344,783.43225
163,910.71747,789.7653
164,888.10803,790.7393
165,876.9539,787.28424
166,875.7681,784.9995
167,879.27374,786.35614
168,883.8151,788.29785
169,884.7121,788.16833
170,878.0406,785.2392
171,865.993,779.75195
172,857.5519,774.9061
173,865.76294,775.14453
174,893.30475,779.6566
175,916.0745,782.44476
176,911.72076,781.4611
177,893.4921,780.83405
178,881.4504,782.24457
179,873.72864,783.1544
180,864.74194,782.97485
181,859.3245,782.4205
182,865.8472,779.93207
183,882.89124,774.9291
184,892.2793,770.2311
185,883.53265,768.2868
186,874.5208,766.3314
187,882.41614,757.6585
188,899.3806,745.56146
189,911.5108,746.7808
190,911.3434,764.76807
191,880.1678,775.69794
192,803.92004,752.05145
193,724.5105,688.74005
194,696.9116,612.54
195,706.4895,567.6277
196,718.68774,580.7
197,752.7042,641.7817
198,824.7073,708.0433
199,875.4918,726.5218
200,848.19763,690.0359
201,784.23047,652.0112
202,748.9844,649.9195
203,747.6115,663.92267
204,758.8424,663.37915
205,773.7246,649.24066
206,805.34784,653.562
207,885.9972,689.9272
208,999.51825,711.1301
209,1036.948,671.3812
210,940.59186,606.7907
211,811.89154,587.3111
212,754.3904,619.2284
213,751.73865,655.31866
214,753.244,669.73615
215,748.8293,671.6843
216,748.35126,673.26465
217,752.3513,675.06744
218,753.6821,667.68585
219,750.976,641.4541
220,756.34186,605.419
221,782.51746,584.17017
222,814.172,579.28186
223,817.9243,565.9793
224,791.0866,540.5671
225,763.9163,524.8696
226,754.70575,527.6039
227,756.73737,538.2035
228,759.55646,546.3009
229,761.19836,550.5696
230,763.12854,554.2582
231,762.9347,557.54266
232,759.77527,558.36237
233,762.95874,559.47253
234,780.1778,566.5624
235,797.71747,576.9567
236,794.2535,578.67017
237,774.10944,567.2423
238,760.06683,554.30084
