frame,x,y
0,926.5938,610.46405
1,698.0409,542.117
2,660.3358,543.99347
3,770.956,640.4068
4,856.35156,782.09955
5,850.6168,888.33453
6,815.1721,930.1633
7,801.99915,936.3179
8,801.1106,933.3583
9,787.3457,930.53107
10,761.29877,937.6202
11,743.7336,958.2316
12,748.28973,982.6617
13,769.3355,1002.3253
14,792.09924,1015.2974
15,796.4716,1006.77057
16,757.1753,942.401
17,674.6622,816.8955
18,592.0948,688.8855
19,550.951,614.5254
20,566.00555,586.5967
21,637.3699,572.8715
22,727.3152,556.8494
23,779.5811,539.1987
24,798.6183,548.3082
25,823.7526,633.5851
26,841.85834,798.4296
27,820.0981,961.2493
28,778.7419,1042.3662
29,757.04755,1051.1238
30,756.35034,1030.3883
31,753.83374,966.5934
32,736.11456,825.03613
33,709.2346,653.4103
34,688.2485,554.2209
35,679.0972,552.45917
36,675.58875,587.85065
37,670.9926,610.8815
38,663.4833,612.5748
39,657.16235,602.8086
40,666.5554,610.9764
41,704.5712,681.0981
42,751.9614,816.84546
43,769.13464,951.62177
44,750.6002,1019.6039
45,725.93915,1024.9062
46,711.85065,1011.34906
47,702.73926,1005.81476
48,695.39996,1012.8548
49,695.8155,1031.1632
50,698.761,1046.0676
51,666.2413,1015.6073
52,563.9423,908.99805
53,434.96777,770.8847
54,360.1864,685.1161
55,351.24805,672.3416
56,377.42154,688.47003
57,435.5674,696.4432
58,509.4833,692.15125
59,554.85645,687.2299
60,596.13367,689.43353
61,727.718,699.39966
62,940.3427,716.7178
63,1081.4493,735.2522
64,1072.1643,746.19006
65,1004.99945,751.5781
66,968.1972,757.0609
67,939.74567,765.7746
68,880.35345,785.397
69,805.2102,815.45874
70,752.0336,839.1753
71,740.939,843.32196
72,771.1963,831.98926
73,814.69824,825.45856
74,820.112,848.3172
75,769.517,904.5393
76,702.7833,969.1513
77,663.1809,1010.8484
78,672.30853,1011.0952
79,739.681,968.27124
80,829.8393,908.9907
81,870.262,875.4759
82,837.8377,880.78613
83,780.23535,904.6234
84,744.27814,927.11505
85,732.98804,939.82556
86,728.05707,940.3961
87,717.28827,930.08234
88,700.2948,907.7728
89,688.22406,873.8368
90,697.423,845.3273
91,730.7016,842.4764
92,765.5997,855.28613
93,776.6875,857.77374
94,764.769,849.7443
95,749.3693,847.2624
96,745.34485,849.62524
97,754.7166,845.39746
98,766.4917,836.8619
99,764.81995,838.917
100,750.4567,853.4191
101,740.56213,863.99615
102,741.11066,861.9847
103,743.4952,854.9767
104,742.9878,849.5531
105,742.539,845.71783
