frame,x,y
0,789.8148,771.18585
1,791.72955,770.0981
2,789.417,770.1185
3,784.86163,770.5993
4,784.3195,770.60406
5,790.1266,770.4334
6,796.88135,771.0907
7,798.7356,772.856
8,796.2328,774.32043
9,792.71906,773.8328
10,788.53723,771.9781
11,782.0023,771.0452
12,775.0324,772.237
13,772.5329,774.59906
14,773.82983,776.24414
15,773.9157,775.6591
16,774.2458,772.8659
17,779.19403,770.0834
18,787.4618,769.29926
19,796.4839,769.8732
20,803.2275,770.91174
21,802.80096,772.8952
22,797.86365,775.07446
23,797.66345,775.5182
24,801.95404,774.3407
25,801.8762,773.15454
26,797.44006,772.0999
27,796.93744,770.3284
28,801.6138,768.219
29,805.21686,767.07605
30,804.17426,767.67126
31,800.03107,769.5277
32,795.2924,771.02185
33,790.26373,771.19977
34,786.0173,770.6545
35,786.8074,770.0147
36,793.172,769.3937
37,799.16626,768.69995
38,799.5181,768.47644
39,793.40814,769.9944
40,784.7694,772.09766
41,780.4066,771.83344
42,783.3221,770.07117
43,789.6283,770.235
44,793.25977,772.2563
45,793.0074,773.51385
46,792.2384,773.37823
47,791.9896,772.8912
48,791.7307,772.3141
49,793.7474,771.4578
50,798.24976,770.8107
51,800.36896,770.77966
52,797.42755,770.8103
53,792.1342,770.6415
54,786.94604,770.98206
55,781.1164,771.86444
56,775.7167,772.7164
57,776.11896,773.66626
58,783.86896,774.61786
59,793.1663,774.98145
60,798.8295,774.6815
61,800.00476,773.5704
62,797.15393,771.45905
63,792.2209,769.3166
64,789.4974,768.3977
65,790.7036,768.52014
66,792.71094,768.6635
67,792.7192,768.8084
68,791.31384,769.5628
69,791.00415,770.1236
70,792.9667,769.2302
71,794.57886,768.03217
72,792.87103,768.46423
73,790.25073,769.8614
74,791.3553,770.4169
75,795.2108,769.73083
76,797.6138,768.6339
77,798.5367,768.4317
78,800.13794,769.67114
79,800.70233,770.96216
80,797.6835,770.7215
81,793.3802,770.01306
82,791.0031,771.0316
83,790.72504,773.27496
84,792.4239,774.08075
85,795.10254,772.533
86,795.88995,770.3361
87,795.203,768.84766
88,796.55066,768.3408
89,798.8829,769.2763
90,798.65735,770.9015
91,797.7738,771.0277
92,799.2235,769.1355
93,799.79626,767.4973
94,796.1783,768.0431
95,792.9855,769.353
96,794.5846,769.43036
97,796.884,769.127
98,796.4573,769.6026
99,795.5141,770.298
100,796.0133,770.52466
101,798.26984,770.2286
102,801.927,769.5575
103,805.4394,768.8967
104,806.3267,769.2632
105,802.6386,770.88196
106,795.7413,771.83734
107,790.99493,770.8633
108,792.0949,769.7963
109,795.12384,770.8368
110,793.5827,773.42444
111,788.67847,774.948
112,787.0094,773.6042
113,790.3912,770.5806
114,796.1988,768.483
115,801.4083,768.24384
116,802.6263,769.3614
117,800.3943,771.17194
118,799.8736,772.5884
119,802.1446,772.37946
120,801.71857,770.7495
121,795.5137,769.49536
122,787.8243,769.6468
123,783.6876,770.51404
124,784.45636,771.09564
125,788.8772,771.04346
126,792.00146,770.7602
127,791.36584,770.5889
128,792.4879,770.432
129,797.0586,770.39453
130,799.4761,770.3899
131,799.3353,770.2272
132,800.0199,770.40186
133,799.8739,770.92883
134,796.8693,770.7667
135,794.9163,769.5656
136,797.599,768.50323
137,801.07806,768.61426
138,800.74915,769.17303
139,798.3342,769.257
140,796.61426,769.1989
141,796.40356,768.76984
142,798.4526,767.47736
143,800.4495,766.7902
144,798.331,768.14276
145,793.3679,770.5768
146,790.91376,772.5895
147,792.5927,773.67487
148,794.9036,773.4091
149,795.2604,771.7078
150,794.4724,769.73645
151,794.37115,768.421
152,797.0532,767.62616
153,801.90393,767.62744
154,804.2989,768.49567
155,802.1496,768.8909
156,798.3538,768.6074
157,795.4221,769.50507
158,792.9602,771.9267
159,790.68994,773.929
160,790.0635,774.17505
161,790.9074,773.0008
162,790.7993,771.43677
163,789.7664,770.2641
164,788.91406,770.1294
165,786.56506,771.4461
166,782.74963,773.1117
167,780.9988,773.38043
168,782.995,772.2419
169,787.185,770.7718
170,791.4241,769.70905
171,794.55396,769.38086
172,796.1544,769.4145
173,795.6932,769.6693
174,794.1258,770.1363
175,793.5094,769.79663
176,792.6101,768.91016
177,789.34125,769.3097
178,786.29126,771.1776
179,786.6198,772.8914
180,787.8611,772.74097
181,786.1175,770.72504
182,782.4157,769.4362
183,780.416,770.31934
184,783.32666,771.3784
185,791.7799,771.6582
186,801.95087,772.6858
187,809.4703,774.9922
188,811.36926,777.73694
189,806.80176,779.87665
190,801.5533,781.60236
191,804.3565,785.549
192,814.3257,792.17163
193,819.8565,796.4369
194,816.5892,795.2321
195,814.7159,790.6029
196,821.8655,783.4856
197,833.3875,774.8917
198,841.3908,768.65063
199,843.85724,765.87866
200,845.00433,764.25366
201,848.9848,763.4648
202,852.999,764.68134
203,849.87836,766.9288
204,838.7118,768.415
205,827.1791,768.69495
206,822.8029,768.05225
207,824.65344,766.92926
208,825.1435,765.9521
209,821.2753,765.62054
210,817.71204,765.839
211,816.7494,765.64954
212,816.5004,763.80853
213,817.6939,760.40045
214,820.0343,758.1203
215,818.8511,759.7959
216,814.72864,764.1508
217,819.1112,767.40314
218,842.35266,767.6146
219,875.2606,763.6642
220,893.9505,753.6249
221,889.362,739.8304
222,875.41595,732.0419
223,866.6729,737.6562
224,865.7475,751.9779
225,868.5148,765.4483
226,871.8894,772.81177
227,876.622,771.6111
228,880.99194,764.4517
229,880.6566,759.52124
230,875.88257,758.4429
231,866.68097,753.9711
232,851.5916,745.4187
233,841.9028,743.7375
234,856.39,755.3969
235,891.1455,772.47687
236,918.65204,784.87866
237,924.86444,790.3497
238,919.93555,788.7955
239,909.4696,780.91565
240,884.663,773.16656
241,848.3239,771.19525
242,826.631,771.5236
243,836.3849,768.54236
244,855.289,763.8815
245,846.7947,763.2683
246,810.92596,767.2474
247,790.6146,768.6407
248,813.4063,761.7634
249,851.8828,751.33923
250,867.73694,745.9558
251,860.1124,746.2468
252,850.472,747.43317
253,852.5945,748.684
254,863.86414,752.4477
255,870.28705,757.5379
256,861.80646,758.5573
257,842.4824,753.99445
258,825.1991,750.1342
259,818.84,752.77515
260,819.82153,760.3709
261,820.60486,767.72577
262,820.80585,771.1563
263,821.6859,770.52655
264,821.92303,767.98676
265,823.02686,763.2688
266,826.5862,754.9458
267,828.99286,746.66895
268,828.25476,744.0002
269,828.56104,746.8263
270,831.6555,751.3891
271,835.16797,755.2734
272,840.5324,756.1806
273,848.99774,753.7942
274,859.4028,755.6319
275,878.23553,768.0991
276,911.40247,783.0913
277,946.4352,789.8929
278,962.13806,790.9966
279,956.52997,792.5574
280,957.76154,792.6676
281,982.02313,787.2255
282,991.64514,779.2214
283,955.414,774.2826
284,910.8261,772.1871
285,896.6607,768.6621
286,881.1041,748.709
287,813.9719,690.0979
288,713.7803,605.76074
289,645.99,548.69025
290,632.3952,547.9198
291,647.1038,581.8579
292,675.68225,621.0258
293,718.0153,654.61597
294,758.11096,677.77704
295,775.9906,688.3442
296,766.8961,691.03345
297,727.4463,690.30536
298,660.94965,689.8097
299,590.18396,691.8799
300,537.8768,690.6724
301,522.18823,683.5466
302,563.7455,684.1179
303,644.11346,693.79846
304,688.69293,683.17944
305,669.8623,648.4725
306,654.3616,633.6453
307,681.80634,655.5431
308,710.7004,678.52875
309,702.1831,671.26605
310,669.7189,640.2764
311,659.80853,621.4039
312,699.45087,639.7881
313,756.6929,674.74005
314,781.14795,687.7585
315,770.24567,673.9983
316,762.62115,661.60516
317,778.5443,663.829
318,795.5615,667.0841
319,788.6459,668.6208
320,765.9042,675.7666
321,751.72003,682.6569
322,754.3645,683.9526
323,754.4296,685.08685
324,728.1586,690.4224
325,684.7536,698.5215
326,654.9056,706.2354
327,646.80804,711.0859
328,646.99005,711.2747
329,652.21857,704.8679
330,670.7159,691.84467
331,695.64655,678.5815
332,708.63513,671.2902
333,715.6893,666.87225
334,747.5116,661.9446
335,817.2115,662.22266
336,895.4473,675.8699
337,939.185,702.8506
338,934.01984,731.5913
339,892.7788,748.38025
340,838.7202,749.82513
341,798.19275,743.13995
342,782.57434,735.81635
343,781.6307,727.3182
344,781.608,713.8385
345,780.7858,701.4244
346,789.9853,706.08234
347,815.92737,733.5214
348,840.7599,769.71265
349,837.14056,799.23474
350,808.4582,816.81024
351,785.05707,822.6894
352,782.8122,823.0595
353,793.1516,823.6767
354,801.96967,814.0051
355,802.97815,775.8868
356,803.1454,720.8349
357,813.2611,691.7296
358,831.26733,705.7912
359,846.1593,735.7914
360,847.5068,760.77295
361,828.8419,786.63196
362,801.26294,817.3062
363,781.8132,842.5259
364,752.4467,843.67725
365,681.0481,804.0721
366,596.64014,737.8505
367,570.92816,690.59674
368,618.85645,686.9393
369,686.15356,706.8292
370,721.2587,721.06256
371,716.959,723.2557
372,692.1849,723.2222
373,659.0857,727.0497
374,626.3699,734.86285
375,613.09937,745.64307
376,629.0575,754.75616
377,656.5757,759.8783
378,669.25464,767.4402
379,657.3967,781.1048
380,628.0212,794.78406
381,591.2864,800.2827
382,563.8419,788.96173
383,587.55096,756.3719
384,712.5386,720.12744
385,918.28326,706.56085
386,1085.3953,708.13544
387,1139.4685,697.3232
388,1141.034,674.9696
389,1133.6643,655.56006
390,1079.5107,637.4011
391,977.09595,622.04767
392,872.1113,620.9777
393,799.23267,634.9395
394,775.56885,654.47064
395,790.79156,671.22296
396,810.308,681.08734
397,812.10406,685.459
398,799.9096,689.18317
399,787.43335,694.57336
400,789.9482,697.0798
401,809.0082,691.00415
402,821.1689,681.20715
403,810.3059,678.43866
404,791.3943,684.3321
405,781.02216,692.8056
406,777.6085,699.5184
407,775.66504,703.09265
408,773.87976,703.6286
409,772.54144,702.4979
410,772.5737,701.8811
411,775.3169,703.3781
412,780.87506,706.6198
