frame,x,y
0,840.8963,978.336
1,851.1452,974.84503
2,858.93085,975.2187
3,862.27136,978.2532
4,854.60913,980.96014
5,830.3992,984.82196
6,800.92896,993.7554
7,789.2303,1005.4496
8,802.7127,1012.23816
9,822.91003,1012.8773
10,828.5468,1014.77814
11,820.9089,1022.44867
12,817.2831,1031.4921
13,826.4885,1035.4297
14,841.8024,1032.7617
15,852.8051,1026.3212
16,857.5422,1020.3692
17,861.1069,1018.4923
18,863.71185,1019.69116
19,860.46454,1017.41925
20,851.6317,1005.83234
21,841.2897,988.2168
22,832.66254,976.17285
23,829.8437,976.135
24,833.33026,983.2974
25,836.5705,991.02264
26,835.73914,996.7919
27,836.2259,999.7464
28,843.7397,999.55664
29,856.3223,997.68427
30,868.3754,997.3423
31,876.8712,1001.098
32,881.7366,1007.458
33,883.7075,1011.256
34,884.709,1009.77594
35,885.8837,1005.8264
36,883.35754,1001.8998
37,874.6606,995.72064
38,866.4308,983.14764
39,864.20496,962.80145
40,860.70374,941.81555
41,845.91565,931.5829
42,823.7902,931.35114
43,809.24585,928.1135
44,812.3639,914.0297
45,829.6038,894.82684
46,845.8672,882.42163
47,844.16876,885.1771
48,818.3563,906.3629
49,782.1165,940.3048
50,759.8359,968.33453
51,763.40625,973.5777
52,785.30615,958.3176
53,809.4381,940.1622
54,823.6653,935.3812
55,827.2584,944.8495
56,825.85,956.6279
57,822.9098,962.6663
58,819.80707,965.87726
59,820.0034,971.62634
60,829.6912,977.5182
61,850.76605,976.0322
62,871.364,968.4725
63,873.92224,966.6586
64,857.899,977.636
65,838.37476,993.33984
66,823.8609,995.16907
67,812.615,968.3288
68,802.09863,915.19836
69,793.4523,852.87335
70,796.91675,797.2339
71,828.87146,755.436
72,882.93567,728.87195
73,912.44904,711.5438
74,885.93146,692.6562
75,848.7411,672.09314
76,860.9395,666.30994
77,903.15717,690.4014
78,917.91675,738.6002
79,894.792,791.83276
80,861.7789,839.6741
81,837.18463,880.65533
82,813.9643,909.8398
83,776.51196,922.7236
84,731.72375,924.544
85,706.8825,926.1462
86,713.4591,937.2911
87,739.431,962.52106
88,766.7861,991.0276
89,784.9834,1002.3412
90,794.305,993.03064
91,780.71387,979.941
92,717.1763,975.09534
93,629.4572,974.0841
94,593.4361,968.31647
95,635.33075,956.08203
96,708.7004,941.42633
97,764.28735,934.24005
98,787.4715,945.5511
99,788.45105,970.3855
100,787.1509,992.137
101,797.7238,1006.356
102,817.7241,1016.85956
103,844.86285,1017.21936
104,892.77673,994.922
105,958.6512,950.88446
106,1000.9594,904.6986
107,990.6685,874.6331
108,954.3671,863.67865
109,927.77216,866.6539
110,892.1646,877.7405
111,808.4161,896.2722
112,709.75287,928.15247
113,676.5462,971.9322
114,715.2582,1010.60156
115,763.3247,1028.1066
116,788.3634,1025.7196
117,798.4828,1017.2025
118,795.30444,1015.3565
119,773.7606,1022.9964
120,751.3332,1030.9165
121,756.68646,1027.17
122,787.7921,1011.3443
123,815.1621,993.2729
124,823.2333,977.83057
125,819.44244,960.3952
126,815.0763,940.40405
127,818.3715,930.39294
128,831.5167,940.5302
129,847.7485,964.8535
130,860.7963,991.4613
131,871.5779,1010.8745
132,883.8312,1016.0857
133,897.1608,1006.69385
134,904.0429,987.239
135,897.23016,959.12006
136,879.18585,924.0351
137,859.5793,896.4089
138,845.0477,893.58984
139,836.9947,910.7751
140,835.7463,927.43726
141,839.0874,935.4833
142,843.38196,944.25775
143,849.05554,962.7854
144,856.9976,986.2672
145,860.99866,1002.1688
146,853.77185,1007.1967
147,841.07074,1011.6021
148,837.0693,1017.6483
149,844.80664,995.9119
150,851.4569,917.99396
151,845.33606,820.8919
152,837.46936,780.896
153,850.9491,817.6352
154,878.307,878.1197
155,878.5131,909.1091
156,828.4081,906.43134
157,752.2276,894.5903
158,684.06274,890.09564
159,628.5517,897.4364
160,593.27594,915.36615
161,597.4772,937.80054
162,621.71936,959.7972
163,634.15424,977.15027
164,646.6743,980.1119
165,684.96814,962.385
166,743.60913,936.92377
167,795.46423,927.0209
168,825.38477,939.3405
169,839.40076,959.3387
170,843.0676,970.43774
171,831.1965,967.2883
172,801.49615,956.79663
173,763.1818,951.18835
174,731.2154,954.20264
175,712.66785,954.90594
176,700.92126,942.1018
177,690.49115,921.8813
178,684.5311,910.2502
179,682.2114,912.4363
180,677.6407,921.1364
181,672.8456,928.491
182,679.86597,930.95514
183,703.4092,927.5469
184,721.84607,918.80304
185,707.9568,906.70056
186,671.1795,895.2632
187,645.58954,895.44055
188,644.0378,918.2731
189,652.8276,945.68353
190,656.3941,938.62213
191,652.63226,897.19696
192,650.4993,862.5654
193,657.6552,853.6181
194,674.01935,855.27606
195,692.86884,855.54803
196,704.4265,857.3197
197,704.0846,864.6937
198,697.31476,872.95355
199,691.5855,873.49976
200,685.2176,865.1315
201,676.3074,854.2806
202,693.61945,846.1739
203,780.2338,840.8268
204,908.65063,836.2511
205,984.322,833.2404
206,956.30005,838.73785
207,850.37213,860.61304
208,730.42554,893.03864
209,657.18835,919.3778
210,642.4667,934.1363
211,660.1968,948.06537
212,689.1565,972.2767
213,716.57275,1001.0249
214,731.93945,1012.6439
215,734.2674,991.7858
216,734.9829,946.4672
217,748.1818,905.4494
218,776.7547,899.0484
219,809.48663,933.6611
220,829.8376,982.236
221,825.1594,998.8482
222,796.26465,955.1524
223,762.0308,876.98346
224,742.2325,818.88055
225,737.0843,798.1009
226,735.0456,794.61926
227,731.56366,801.53033
228,732.4692,833.915
229,745.3954,894.17334
230,768.15015,955.94244
231,787.9116,992.7488
232,795.8728,1004.5727
233,796.76495,1008.79865
234,801.4561,1019.02875
235,814.49774,1033.0792
236,831.9747,1039.9222
237,849.9493,1037.068
238,868.85547,1030.4353
239,887.8313,1022.887
240,901.588,1014.35913
241,907.2608,1005.72565
242,908.1938,997.9794
243,907.3607,991.9488
244,904.8252,988.70905
245,903.738,989.4072
246,908.9961,993.63184
247,918.4322,998.23926
248,922.7721,999.1962
249,916.138,994.65497
250,904.0951,988.46295
251,897.72723,987.8144
252,898.7178,990.2429
253,892.98584,974.26886
254,865.35443,921.016
255,821.78455,852.77985
256,782.6416,815.20703
257,755.9212,818.0117
258,738.5553,835.9267
259,734.5703,850.4661
260,749.42413,857.92914
261,775.28815,859.00525
262,798.1704,856.352
263,813.68304,853.70544
264,825.35077,852.8602
265,833.7832,850.92596
266,836.8219,842.45496
267,836.1029,827.4323
268,837.0621,817.65155
269,844.67224,833.6591
270,859.20386,885.24756
271,872.03455,953.552
272,873.603,1010.3763
273,868.2494,1045.8268
274,865.3542,1061.7383
275,862.325,1056.9435
276,853.81793,1027.2101
277,843.89417,977.86316
278,838.3739,932.5929
279,837.1447,913.51996
280,837.5824,919.6345
281,838.41974,936.02106
282,839.4032,950.3342
283,843.4843,958.5874
284,856.7021,964.1964
285,871.41693,967.97003
286,849.16077,959.1958
287,754.02716,927.6615
288,621.6665,884.72485
289,538.17944,852.9716
290,531.18555,836.9472
291,555.2468,826.5837
292,576.4604,820.4026
293,599.4582,825.7275
294,629.3639,840.8249
295,653.58057,854.4141
296,656.07715,862.6324
297,635.79846,868.6073
298,611.63745,872.2129
299,604.01886,872.6061
300,613.8732,872.9146
301,631.65015,881.6222
302,655.7413,906.8512
303,686.7884,941.8473
304,715.85657,966.53424
305,733.46234,970.52167
306,743.4939,963.90564
307,758.22125,963.0271
308,783.05255,972.88
309,811.77637,985.5842
310,835.7279,993.4311
311,849.0034,996.09766
312,842.0382,991.58386
313,807.1369,972.7424
314,765.2364,941.207
315,767.86896,909.07
316,837.19073,884.92633
317,918.1223,873.9674
318,940.91693,879.73737
319,908.75696,892.30176
320,870.2029,889.07043
321,842.24506,860.754
322,799.23895,829.5156
323,722.2319,823.337
324,646.48395,838.71313
325,626.67804,852.468
326,659.83527,859.40125
327,698.5765,874.64026
328,716.9367,905.60864
329,719.69147,937.25116
330,714.6965,950.2508
331,698.4378,941.04193
332,664.3552,914.8241
333,619.3321,879.1429
334,580.2539,847.41705
335,557.55334,834.223
336,553.55414,847.1274
337,566.70154,877.80914
338,589.5422,906.477
339,611.6514,922.69495
340,627.0236,929.57166
341,637.02075,933.28094
342,646.77997,939.6328
343,657.76263,949.3777
344,669.98804,949.5878
345,692.21515,923.97565
346,733.23425,882.60187
347,783.7601,859.069
348,824.5222,869.40125
349,846.6134,901.2638
350,850.7953,939.3786
351,839.70807,976.38715
352,824.9979,1006.3368
353,824.482,1024.2909
354,839.7373,1031.9368
355,855.6215,1035.5502
356,863.4315,1037.5201
357,866.0863,1035.1353
358,867.72626,1028.3173
359,872.34937,1022.8145
360,884.3381,1022.43866
361,901.4014,1023.26953
362,914.53284,1020.5926
363,920.0387,1016.56433
364,923.44025,1015.4965
365,930.245,1016.99756
366,940.0167,1018.2937
367,946.78864,1017.98706
368,942.40106,1015.62036
369,925.37506,1012.44543
370,905.1608,1011.3405
371,890.98596,1012.7161
372,882.69604,1015.29297
373,877.5775,1020.83167
374,874.6408,1030.4592
375,871.09607,1039.5184
376,867.3302,1043.1058
377,870.9362,1041.5826
378,886.7721,1036.3534
379,908.17316,1027.2205
380,921.1404,1017.326
381,917.1161,1012.7895
382,900.94495,1014.9726
383,883.3572,1019.50165
384,871.3187,1022.61115
385,867.24634,1024.2196
386,868.49274,1025.8562
387,869.9606,1028.974
388,871.4951,1034.9794
389,875.54175,1042.8845
390,879.938,1048.4069
391,881.34717,1049.5757
392,881.69684,1050.2426
393,887.0743,1055.4021
394,897.2814,1061.4055
395,889.9964,1044.9067
396,833.02545,979.1819
397,734.7846,881.80237
398,654.8202,810.5208
399,648.2155,804.12164
400,723.3237,861.38727
401,836.55194,946.2699
402,922.039,1007.0958
403,948.59717,1026.5721
404,933.30804,1027.1362
405,910.82574,1026.4175
406,906.86127,1024.3201
407,918.1134,1019.9089
408,922.9005,1015.65826
409,915.6253,1011.1158
410,906.6044,1004.7493
411,901.2761,999.2145
412,899.6399,997.7381
413,900.1925,1000.09094
414,897.8192,1005.0142
415,888.01917,1011.01776
416,875.0194,1016.10547
417,869.67804,1019.6099
418,874.8807,1021.6199
419,876.0607,1021.9128
420,844.3357,1020.7023
421,765.16046,1018.8329
422,681.6207,1018.16846
423,654.21716,1016.97217
424,668.8245,999.53345
425,667.7024,950.3625
426,644.75055,890.5027
427,629.50085,861.4783
428,621.8664,868.3214
429,604.12756,882.59235
430,586.33966,884.9425
431,613.71906,870.5501
432,719.35406,841.62024
433,850.3311,814.12225
434,908.4657,805.0774
435,882.4876,809.54767
436,839.51654,812.15295
437,817.5841,810.8472
438,810.2394,812.67444
439,807.604,818.8312
440,807.0292,825.65704
441,806.24915,832.4754
442,803.90375,839.9589
443,801.415,846.0606
444,796.85706,848.5513
445,784.5885,849.3917
446,770.66986,857.50055
447,776.1724,884.794
448,809.8868,931.1808
449,852.6596,977.705
450,881.8748,1004.6907
451,893.23364,1009.9989
452,893.758,1004.1133
453,889.7265,997.64264
454,882.40826,996.8629
455,872.38965,1003.98364
456,863.5002,1013.1423
457,851.15027,1000.9415
458,820.5183,942.5343
459,773.016,856.9061
460,730.40826,796.4938
461,706.8428,782.08264
462,705.9913,804.39716
463,733.49054,862.955
464,784.0937,942.7479
465,833.3781,1002.31366
466,860.8666,1022.0481
467,867.1977,1019.1278
468,863.6563,1013.313
469,861.5017,1010.3844
470,870.75977,1009.3247
471,891.6008,1007.4507
472,902.0084,1000.0629
473,868.15576,984.58276
474,785.89996,968.02295
475,700.86774,960.9315
476,660.37726,964.0111
477,667.462,972.27673
478,699.92194,985.492
479,739.2854,1003.85315
480,775.19446,1019.5686
481,799.9824,1010.9428
482,804.098,955.1642
483,787.2268,868.75336
484,765.1112,803.7606
485,752.8066,786.14874
486,752.45734,798.97894
487,760.0792,818.5154
488,772.5126,832.906
489,785.5747,838.6436
490,795.3848,836.8821
491,802.78204,831.59753
492,809.7037,825.4617
493,814.8079,817.4773
494,816.8612,806.2959
495,818.3565,792.5435
496,822.23267,777.6564
497,827.6063,763.70544
498,832.4967,753.40826
499,837.0594,747.9985
500,841.5031,745.9031
501,844.9738,744.4958
502,847.042,742.3018
503,848.20245,739.43335
504,849.20154,736.9502
505,850.124,735.5708
506,850.67426,734.9156
507,851.4586,734.5534
508,853.18335,734.3444
509,855.21045,733.6854
510,856.7674,732.2458
511,857.8645,730.4686
512,858.61945,728.78345
513,859.3228,727.5444
514,860.32007,727.16125
515,861.5111,727.57263
516,862.752,728.204
517,864.2851,728.62836
518,866.40717,728.53815
519,868.7318,727.37054
520,870.3404,725.0203
521,870.9764,722.1631
522,871.28687,719.4403
523,871.9301,717.43805
524,872.75934,716.81903
525,873.0286,717.3033
526,872.6777,717.6778
527,872.2859,717.3318
528,871.92084,716.5821
529,871.7114,715.8561
530,872.3538,715.36707
531,873.66815,715.1323
532,874.4238,715.1204
533,874.1977,715.2811
534,873.1854,715.57153
535,870.8541,716.1607
536,867.07086,717.15125
537,862.92676,718.41956
538,859.93933,719.87415
539,859.0579,721.34375
540,859.20544,722.69934
541,858.40186,723.9592
542,856.7625,725.0396
543,856.04346,726.161
544,856.6887,727.667
545,857.0476,728.97437
546,856.07935,729.1392
547,854.9483,728.2394
548,854.75195,727.2639
549,854.888,726.9958
550,854.5088,727.35693
551,854.0657,727.7212
552,854.25226,727.53516
553,854.6334,726.8493
554,854.5749,726.2537
555,854.0955,725.9353
556,853.47797,725.6052
557,852.8693,725.2395
558,852.2549,724.83417
559,851.66144,724.41534
560,851.1318,724.4887
561,850.93695,725.24475
562,851.32324,726.05505
563,851.69446,726.3049
564,851.6485,725.9992
565,851.5312,725.5502
566,851.1115,725.4335
567,850.53894,725.9337
568,851.2464,726.6391
569,853.6182,726.8503
570,856.16925,726.94507
571,857.7951,727.80975
572,858.8095,729.0446
573,859.784,729.62067
574,860.8239,729.5141
575,861.773,729.24744
576,862.23895,729.0438
577,861.8158,728.8952
578,860.9499,728.58673
579,860.75665,727.9574
580,861.3006,727.4001
581,861.81433,727.5313
582,862.5743,728.2736
583,864.05695,728.92285
584,865.3457,728.98737
585,865.5067,728.47723
586,864.89264,727.74365
587,864.22253,727.1959
588,864.1662,726.888
589,865.2811,726.1858
590,866.9717,724.35315
591,868.1501,721.9934
592,869.0506,720.65375
593,870.1721,720.57605
594,871.06525,720.6455
595,871.55884,720.2308
596,871.5282,719.5707
597,870.70953,719.1931
598,870.11975,719.39636
599,870.5943,719.8072
600,871.37555,719.8591
601,871.7891,719.47784
602,871.75555,718.99054
603,871.3317,718.7765
604,870.8794,719.0127
605,870.9424,719.7484
606,871.69586,720.7389
607,872.446,721.2591
608,872.82153,721.0482
609,873.42084,720.745
610,873.9203,720.8556
611,873.5647,721.1866
612,873.1128,721.29376
613,873.1166,721.1035
614,872.6931,720.92194
615,871.5077,720.90906
616,870.3937,721.1913
617,869.99097,721.9769
618,870.0402,722.9192
619,869.8469,723.2894
620,869.1037,722.7858
621,868.08875,721.56805
622,867.55176,720.1566
623,868.4571,719.1933
624,870.91266,718.84796
625,873.4527,718.7953
626,874.347,718.4232
627,873.4894,717.4268
628,872.0296,716.6975
629,870.412,717.515
630,868.0103,719.75885
631,864.4059,722.1222
632,858.857,723.9558
633,848.9032,726.1994
634,833.02563,730.2681
635,815.1977,735.6697
636,803.6436,740.3237
637,800.007,744.712
638,787.14624,754.6602
639,745.7776,777.4336
640,694.13715,812.49835
641,673.697,850.4326
642,690.05304,883.38525
643,713.0589,911.2643
644,726.1296,939.5776
645,740.0674,972.96466
646,763.0,1006.7125
647,780.1508,1027.8003
648,777.7535,1029.5917
649,770.7205,1022.20825
650,781.4593,1020.2332
651,805.6356,1024.9272
652,824.76953,1028.9783
653,834.9831,1029.2421
654,842.78107,1026.8875
655,848.45483,1023.4997
656,845.6325,1015.9976
657,836.4457,994.22766
658,837.16895,957.37427
659,847.1239,929.0457
660,838.9336,933.44745
661,809.67523,961.0352
662,792.91077,982.8109
663,805.72644,989.7051
664,827.8738,992.55194
665,831.4847,997.4153
666,811.21954,1001.57935
667,784.1596,1003.5188
668,765.8762,1003.11993
669,755.18353,991.9877
670,736.43805,959.6888
671,696.05664,917.5444
672,646.421,891.3854
673,613.13354,886.6891
674,600.7177,887.26587
675,610.2073,881.0336
676,665.8862,869.9242
677,772.33215,862.36993
678,875.7191,860.9619
679,919.1788,861.65497
680,900.4634,868.6527
681,844.81915,896.4476
682,777.3359,946.68896
683,728.9331,995.40125
684,715.63226,1019.48126
685,722.0215,1024.2046
686,728.3101,1025.546
687,728.7849,1021.13544
688,722.079,995.9178
689,711.647,947.7606
690,713.4365,899.53314
691,740.43646,880.34796
692,781.8353,896.3375
693,814.5946,929.72986
694,830.7822,960.26587
695,839.5549,979.15936
696,848.8074,988.5449
697,857.013,992.8573
698,859.88855,993.2194
699,856.8594,990.8067
700,851.40125,989.23956
701,848.3372,990.19714
702,847.71454,992.67615
703,842.4754,996.9575
704,830.04877,1003.835
705,818.0913,1013.41614
706,811.5403,1024.8435
707,811.58545,1031.8047
708,827.2323,1027.2982
709,864.70374,1018.1124
710,908.00507,1017.7668
711,915.371,1017.6681
712,838.76227,988.5736
713,685.99396,925.40405
714,547.2995,861.8877
715,497.1995,826.2916
716,516.71515,816.07715
717,556.1307,818.46826
718,599.64435,824.2202
719,646.3427,826.3866
720,686.8084,822.6012
721,710.723,814.00037
722,713.5077,801.0067
723,700.91376,789.15173
724,702.7479,803.11365
725,754.3388,869.55884
726,839.22156,964.3561
727,896.1303,1025.5477
728,900.23566,1033.7999
729,883.01355,1019.93536
730,877.1283,1009.2369
731,886.32446,1004.99536
732,898.8057,1003.213
733,904.5437,1002.34283
734,900.26373,1003.6705
735,889.837,1005.5585
736,881.63666,1003.44336
737,880.53424,998.44507
738,881.34607,1003.5515
739,873.9381,1029.7062
740,860.9544,1059.0029
741,856.9785,1062.0292
742,862.7958,1042.8507
743,865.11694,1025.4025
744,860.7104,1017.42126
745,856.49817,1018.3383
746,854.4261,1030.2458
747,853.0145,1047.3381
748,854.39984,1056.1105
749,860.2178,1049.8695
750,867.5736,1033.027
751,872.8184,1012.03894
752,874.47736,989.1939
753,872.88684,966.9794
754,869.90814,951.07416
755,867.4042,943.8186
756,866.17584,942.9461
757,867.4027,946.92706
758,872.777,953.13025
759,881.9325,956.9521
760,892.27203,958.569
761,902.8716,963.86115
762,914.7723,975.7266
763,926.7851,988.43066
764,935.7904,994.1925
765,940.28784,992.5487
766,940.21265,988.8125
767,935.7393,987.29913
768,928.8116,989.42773
769,922.68616,995.65686
770,918.8233,1006.173
771,917.97125,1018.3445
772,922.03326,1026.9547
773,930.7544,1029.9332
774,939.4834,1029.9711
775,943.0965,1029.3666
776,941.54126,1027.7839
777,939.88916,1024.8441
778,941.6811,1021.77264
779,944.2154,1020.4824
780,943.259,1021.40546
781,938.80634,1023.23553
782,933.0491,1025.1881
783,927.2175,1026.9926
784,923.21356,1027.6061
785,924.2613,1027.2091
786,930.05023,1027.9617
787,931.7569,1028.6074
788,911.23267,1019.3795
