frame,x,y
0,684.5207,617.6757
1,660.36993,593.2727
2,635.05835,579.04706
3,607.39954,572.40955
4,579.8993,565.2016
5,570.62994,564.4193
6,613.1985,599.1937
7,710.204,688.98535
8,803.22046,804.8577
9,835.229,891.5498
10,813.0428,921.5016
11,769.2936,885.1916
12,708.55035,770.6624
13,635.8464,621.82684
14,585.54095,536.5739
15,578.58936,550.51044
16,599.28864,607.6908
17,632.672,640.55133
18,680.51587,622.7886
19,730.41425,578.42566
20,755.5323,550.72
21,754.159,550.82056
22,746.3613,558.43616
23,741.9773,559.8267
24,740.75745,558.0164
25,743.3995,559.3943
26,750.7663,565.3036
27,762.0866,573.2182
28,773.641,580.2563
29,778.983,583.9147
30,776.1694,584.547
31,772.8915,587.8133
32,778.2434,596.22626
33,792.6733,601.8728
34,808.6737,602.0845
35,815.9095,610.5082
36,809.24756,629.1536
37,794.99396,637.1008
38,780.6386,637.8695
39,765.90216,666.07245
40,753.44507,721.0795
41,751.1444,761.22876
42,758.76196,766.2124
43,767.08575,747.7751
44,768.0976,717.7917
45,760.4708,681.6917
46,749.64264,646.9936
47,741.6781,622.48553
48,732.7244,617.47174
49,711.4991,638.6969
50,681.4842,672.73065
51,664.752,689.81976
52,672.7645,681.5501
53,694.51184,666.95526
54,714.3234,661.0504
55,723.12634,662.02875
56,719.49023,658.30347
57,710.4335,643.2464
58,705.45764,636.9793
59,706.53046,674.2591
60,708.61115,751.7995
61,708.2732,822.53723
62,708.54834,854.6738
63,719.9153,844.37646
64,752.29224,774.418
65,795.3988,644.24744
66,819.28064,527.73505
67,812.53284,500.0587
68,800.61945,539.8903
69,808.7829,578.98706
70,831.14185,591.94916
71,844.83673,595.27783
72,836.58984,599.1546
73,813.58813,597.65247
74,791.9914,602.5665
75,779.442,637.68695
76,776.1401,689.6199
77,782.1012,717.0988
78,793.10657,705.7814
79,799.0957,672.40894
80,792.7409,636.14294
81,777.145,608.3862
82,763.0555,591.39746
83,758.6532,580.75385
84,762.95593,572.2252
85,765.457,563.7554
86,752.9436,557.2503
87,724.5464,559.70197
88,697.66174,573.3661
89,687.20996,592.76764
90,686.03625,614.5346
91,682.1164,635.0838
92,678.2218,650.6021
93,679.64685,661.50934
94,684.114,660.9016
95,689.02057,643.9555
96,693.45856,628.44904
97,695.9282,635.6694
98,698.00854,664.3898
99,705.90125,695.90656
100,720.6336,723.2968
101,732.3873,760.71783
102,736.86255,801.16736
103,752.3476,789.6588
104,796.6603,685.3629
105,846.1502,547.7723
106,859.8719,484.93958
107,839.4187,515.3846
108,818.344,571.58527
109,816.55774,602.9404
110,832.39105,608.05115
111,853.6099,606.4186
112,867.97565,605.82513
113,870.3362,602.0888
114,859.39667,609.99554
115,834.9154,652.40405
116,804.18085,711.2874
117,779.5503,739.96875
118,763.64954,723.54553
119,749.2991,684.7096
120,733.9434,644.6664
121,723.3445,609.8902
122,721.62994,583.12646
123,724.53143,567.03033
124,725.6921,560.84784
125,726.1784,561.39996
126,733.35,560.61755
127,748.89636,548.202
128,757.60266,537.26227
129,736.57086,560.8951
130,682.9888,615.65735
131,623.38055,655.6953
132,587.7964,657.9855
133,582.5654,640.1337
134,594.68463,620.3701
135,612.9746,602.79755
136,634.647,590.0263
137,658.5788,585.5283
138,682.5389,587.70337
139,704.59644,590.43286
140,722.8842,588.5107
141,736.5208,582.9249
142,746.28253,583.0043
143,751.62115,597.65704
144,750.31903,621.2942
145,743.934,637.78326
146,740.1886,645.31067
147,744.77454,667.3827
148,751.7429,723.4859
149,749.5932,794.6646
150,738.24536,831.93024
151,726.25195,790.7291
152,715.4776,674.1291
153,711.2465,558.08575
154,726.03125,520.4486
155,755.9003,550.8671
156,785.38983,588.61523
157,812.17206,602.58636
158,840.2454,599.38666
159,861.7705,594.8381
160,864.54535,589.338
161,849.77844,576.61127
162,828.5198,577.0472
163,808.4705,619.9025
164,795.5607,689.4193
165,794.12915,737.5944
166,798.3321,743.3012
167,798.75037,721.44574
168,795.731,693.71387
169,794.9052,671.59656
170,797.7049,653.98035
171,802.37244,636.0201
172,806.2349,620.8917
173,806.07983,622.71655
174,800.80475,651.96
175,790.92206,691.41437
176,776.6858,711.5978
177,762.55096,710.1215
178,758.5407,703.4451
179,766.7916,694.9682
180,772.38,676.3865
181,763.60394,650.57916
182,750.13196,632.5658
183,744.60205,625.78656
184,745.51556,616.96204
185,746.7941,598.4983
186,745.6312,587.9709
187,738.6326,615.5454
188,723.62494,683.9723
189,708.81354,757.0058
190,711.09454,789.5073
191,738.9799,752.9108
192,779.04425,659.5873
193,807.794,572.7457
194,818.07544,546.68665
195,821.68524,568.7936
196,830.09406,593.86383
197,844.1789,603.11633
198,857.2292,604.31586
199,864.2847,599.67
200,866.6385,588.3487
201,863.1051,589.3873
202,847.8872,623.0092
203,823.3942,675.32556
204,800.67,712.2325
205,784.89746,721.15485
206,772.89874,713.63873
207,761.65936,699.1314
208,750.7963,680.055
209,740.36017,661.39624
210,731.26215,648.8837
211,726.1589,640.81647
212,726.9028,628.76984
213,731.37555,608.0862
214,735.628,584.12463
215,739.711,566.3293
216,746.6037,559.05817
217,755.44836,559.9547
218,761.7983,564.9452
219,764.3669,571.2396
220,767.6131,580.43134
221,773.25977,599.56915
222,772.6253,626.71564
223,759.60803,645.1926
224,743.5936,645.84784
225,735.56177,636.43884
226,733.1603,625.56384
227,728.8719,616.15875
228,724.5213,616.49097
229,728.91223,642.60144
230,741.90454,695.84357
231,753.39905,754.17413
232,758.9213,795.48145
233,759.2481,793.3477
234,750.46924,718.2524
235,735.4991,605.0807
236,731.1042,542.1842
237,747.3761,553.76874
238,778.02057,588.90393
239,813.3717,608.0745
240,846.12225,610.8629
241,867.4628,606.2791
242,871.1578,594.5052
243,858.66675,590.9646
244,834.74725,624.81934
245,806.10486,683.2977
246,782.02484,721.2809
247,767.06714,726.74695
248,758.07794,716.9714
249,749.6268,701.15283
250,737.4682,680.78485
251,721.1454,660.1108
252,705.01746,643.68823
253,693.24115,630.5588
254,687.1634,615.90765
255,687.7244,598.3476
256,695.1898,581.3455
257,707.9999,569.27185
258,724.7576,565.6029
259,745.9465,571.4523
260,772.8841,586.19354
261,800.7077,608.81256
262,813.4263,629.30853
263,801.9009,630.73267
264,781.4192,610.5432
265,772.2946,581.6461
266,775.51025,554.83026
267,779.6838,538.8796
268,779.2518,550.51495
269,775.68964,603.99426
270,766.48615,687.76154
271,749.5604,770.17114
272,736.434,821.8474
273,739.69507,808.89215
274,752.9338,713.4127
275,762.1155,593.9808
276,767.79724,540.11957
277,781.4975,559.51624
278,808.1926,593.2515
279,840.62537,606.8575
280,866.5528,608.3138
281,881.1872,606.2461
282,889.2826,594.0869
283,890.86,578.5812
284,876.7424,588.57196
285,845.2918,641.873
286,811.11456,715.1473
287,788.1318,761.1127
288,775.4313,759.6643
289,768.7259,730.2362
290,769.79095,698.7454
291,777.20654,675.11725
292,783.03375,655.53894
293,780.7496,634.1173
294,769.5529,610.7993
295,756.9367,593.62537
296,759.23663,595.20306
297,785.8074,618.2763
298,820.7738,646.382
299,839.1991,658.5831
300,835.5482,650.42377
301,819.4635,636.01263
302,800.4426,629.96533
303,786.3203,628.19116
304,780.49036,620.5692
305,774.44946,622.9664
306,754.22406,665.11633
307,721.80096,741.9216
308,698.0629,809.28424
309,701.8553,819.17255
310,735.8992,746.91156
311,782.01337,629.0851
312,812.4941,549.66534
313,819.04,544.366
314,816.3069,574.88995
315,820.18884,596.89557
316,835.467,600.5053
317,855.43756,598.583
318,872.1708,597.3723
319,884.2639,591.8962
320,888.0652,589.656
321,874.5442,609.74927
322,844.3072,655.7547
323,813.4543,705.6908
324,795.05066,732.32654
325,785.44867,728.42487
326,775.05475,704.9183
327,760.90344,675.32117
328,745.7977,650.8304
329,733.55646,637.85974
330,725.6514,633.2138
331,718.3721,625.192
332,707.98157,603.4944
333,705.04144,571.9199
334,728.93835,550.92725
335,776.2317,557.94104
336,817.0358,583.7399
337,828.3913,605.9237
338,812.20593,618.9871
339,790.39374,628.34674
340,784.42163,633.285
341,788.42755,632.2162
342,784.2351,627.24603
343,781.5165,621.73065
344,796.1185,619.2445
345,787.5742,620.6461
346,701.07465,624.9763
347,601.36816,633.9547
348,624.97406,648.2323
349,759.81824,660.37634
350,860.091,661.84393
351,865.47705,655.01337
352,828.8545,649.6307
353,795.98114,649.8508
354,772.36005,649.0095
355,754.2938,640.45526
356,739.3717,634.80756
357,722.3358,655.8934
358,700.6669,710.73206
359,681.089,773.8387
360,679.9471,806.3657
361,721.9144,776.22015
362,807.8795,682.32294
363,882.2406,582.99884
364,893.16705,545.48615
365,861.76117,565.2912
366,836.65704,593.3686
367,834.58014,605.0588
368,847.72986,607.6538
369,865.93054,610.73865
370,886.27014,606.90704
371,903.5083,595.0728
372,898.8352,602.44147
373,860.7331,649.82263
374,809.18567,713.4067
375,774.9741,748.5871
376,762.7508,741.24524
377,755.43713,711.1765
378,741.1924,680.2156
379,720.33276,657.9096
380,700.14355,642.20416
381,689.21326,624.5861
382,690.3982,601.2339
383,698.8446,585.4239
384,708.07043,602.73956
385,716.45416,656.19965
386,723.25793,709.49506
387,723.5649,726.5989
388,714.2316,707.21625
389,699.0802,673.6588
390,688.0676,647.37604
391,690.8983,637.0717
392,704.6738,636.1441
393,715.23364,635.7294
394,716.2783,636.9349
395,714.64075,649.0438
396,715.42474,679.57135
397,716.88135,722.0938
398,718.6637,761.8594
399,724.8577,788.47546
400,743.3661,780.9329
401,779.94116,710.50397
402,820.53894,599.19934
403,837.7926,522.968
404,827.2019,519.6662
405,810.72015,556.8407
406,807.87396,591.86993
407,822.9998,607.0325
408,847.74146,606.75507
409,868.2754,606.4995
410,876.67224,609.1854
411,872.76556,607.5666
412,855.31573,613.47626
413,823.31775,644.5571
414,786.5495,687.93396
415,759.62006,715.2655
416,745.74554,717.9499
417,736.76514,703.79034
418,724.3077,679.7581
419,706.36664,652.6624
420,687.40125,632.1686
421,674.06445,623.84503
422,671.6138,622.81287
423,681.79144,616.6785
424,697.9538,598.673
425,704.97437,580.5339
426,696.7085,580.09094
427,690.7341,591.9316
428,705.32825,594.8686
429,731.4529,586.5025
430,750.19977,580.35535
431,759.3972,581.44025
432,766.4514,584.94495
433,771.6646,584.79565
434,767.5871,577.7318
435,749.5659,565.4011
436,725.00946,552.18994
437,709.4776,544.2318
438,712.6838,551.066
439,732.4669,575.3379
440,757.26733,600.0218
441,764.3746,614.56616
442,728.4541,654.55475
443,661.9249,754.10394
444,628.10156,867.7885
445,667.1246,927.2588
446,742.8719,927.7112
447,803.16064,888.38153
448,840.2967,814.8904
449,868.01196,731.16077
450,879.56757,680.88464
451,853.2505,685.97034
452,803.02356,707.7848
453,788.9053,667.3284
454,843.5895,543.64777
455,920.6828,417.7721
456,945.90875,381.44806
457,903.91254,441.98532
458,842.023,533.77344
459,799.7688,596.8717
460,781.19226,623.6575
461,780.81586,633.81995
462,797.9338,636.36914
463,828.74066,631.85236
464,857.5579,625.4582
465,867.7253,619.0181
466,858.53973,617.2021
467,839.34607,638.4757
468,818.46387,683.7459
469,804.5106,724.0088
470,801.48895,741.12537
471,804.83075,738.8973
472,809.79016,719.59656
473,812.1628,685.41394
474,806.0543,648.3659
475,790.93506,620.38275
476,774.19604,603.2145
477,765.49243,592.7692
478,768.8068,585.461
479,777.36426,578.7535
480,781.74365,572.0964
481,783.70984,568.1753
482,791.13043,569.37683
483,800.5548,574.8469
484,799.0065,585.5609
485,782.54584,607.7991
486,762.2972,640.6875
487,751.26526,667.34454
488,750.6204,678.04504
489,752.56116,686.3449
490,754.68884,699.1881
491,761.3773,702.0446
492,770.0536,688.8636
493,769.3105,671.1611
494,754.4612,657.15326
495,736.89044,645.2642
496,730.4466,632.4159
497,736.2154,625.89453
498,749.0979,646.20917
499,763.58026,701.5367
500,771.8593,766.58875
501,764.6816,798.8078
502,725.7881,766.7766
503,653.5766,683.0996
504,593.98627,610.8478
505,590.10065,594.8153
506,619.32623,610.1647
507,638.5773,614.6136
508,640.77814,603.8954
509,637.48596,596.0015
510,634.51215,599.87683
511,632.7627,609.6347
512,631.89014,614.26465
513,632.144,607.0987
514,633.793,589.1802
515,631.95483,568.1775
516,619.4526,553.5095
517,599.3034,548.8597
518,584.05835,548.891
519,582.07697,545.8487
520,591.5006,539.5609
521,603.9508,536.9274
522,611.14703,540.5743
523,611.39514,545.5865
524,616.57495,552.36755
525,644.86,569.5008
526,686.9766,593.44385
527,707.5536,604.60895
528,710.93256,593.6615
529,751.70245,573.3092
530,840.3679,566.7473
531,903.14294,587.32733
532,879.52374,614.7421
533,800.84814,618.98083
534,727.45917,611.30145
535,670.1179,621.3554
536,621.17377,643.98303
537,588.2067,651.594
538,571.5365,634.7397
539,569.8804,606.0927
540,573.348,578.6671
541,537.6728,556.6833
542,443.12305,539.2806
