frame,x,y
0,574.60645,836.7804
1,857.28345,688.0328
2,994.784,608.51135
3,977.7394,598.93567
4,905.77966,614.9645
5,865.54126,624.87836
6,869.96094,621.55066
7,878.6987,610.91113
8,838.3975,612.10754
9,738.4445,647.945
10,647.63226,712.8119
11,639.32684,769.1879
12,694.64606,792.3556
13,744.8182,789.8135
14,756.7287,774.58936
15,734.57996,749.5297
16,696.67554,713.46545
17,665.44183,671.0958
18,654.9196,643.7904
19,668.3,670.882
20,700.718,774.52734
21,739.0811,910.51373
22,766.9776,1000.5994
23,776.0877,1023.45264
24,774.7622,1021.74164
25,776.16016,1032.5258
26,780.4188,1053.4834
27,779.9369,1066.5684
28,773.33356,1067.3126
29,765.91895,1063.4434
30,762.2555,1060.7283
31,763.8829,1061.8383
32,772.5279,1069.0615
33,788.37244,1079.639
34,805.8445,1084.406
35,814.0962,1077.72
36,801.98096,1065.3604
37,771.37274,1057.6356
38,742.2724,1056.3079
39,730.795,1053.5287
40,730.9487,1045.284
41,729.33167,1039.1985
42,722.70105,1044.3517
43,715.6953,1058.9536
44,723.7744,1062.9149
45,769.4784,1017.252
46,845.2636,904.77454
47,910.80676,776.42395
48,952.57935,698.8772
49,998.1622,668.3069
50,1062.2616,636.74036
51,1120.0721,592.4777
52,1142.2876,561.2111
53,1137.0101,553.01776
54,1135.8987,552.71497
55,1148.6179,550.91693
56,1154.0267,555.893
57,1133.538,577.99286
58,1100.0676,614.79224
59,1081.0585,655.0415
60,1080.3849,687.19977
61,1074.1401,702.51587
62,1042.6145,701.62836
63,1002.8118,692.5922
64,987.95685,679.6956
65,978.0103,667.31683
66,901.38275,676.7143
67,749.87616,745.05023
68,625.2668,883.40314
69,610.25555,1035.6967
70,669.1,1127.958
71,725.2248,1154.4331
72,752.61163,1156.0055
73,760.28326,1151.4362
74,754.76227,1140.1964
75,739.6365,1125.9325
76,725.037,1114.7914
77,723.1019,1111.7047
78,735.2704,1117.3928
79,751.56946,1126.6136
80,762.30225,1133.7919
81,765.9163,1137.9628
82,766.47375,1140.4796
83,766.844,1142.3126
84,766.3848,1144.0713
85,764.3852,1145.2827
86,763.3328,1143.5294
87,766.2262,1136.8014
88,771.5708,1127.9708
89,774.4047,1122.9496
90,771.8586,1123.8365
91,766.21906,1127.9746
92,762.2481,1131.4578
93,762.402,1131.5067
94,765.9747,1128.2079
95,770.1755,1124.5106
96,772.6625,1123.0414
97,776.8071,1122.77
98,787.9668,1120.3147
99,801.4061,1115.4681
100,806.92596,1112.5813
101,807.83344,1113.267
102,817.3273,1113.3512
103,833.8924,1111.5342
104,842.01,1111.9895
105,838.5629,1115.2311
106,835.95544,1116.7803
107,838.88306,1116.1759
108,836.6543,1118.6787
109,820.8032,1126.9832
110,799.2395,1136.7556
111,787.13904,1142.9562
112,788.4046,1146.3477
113,790.86694,1149.4261
114,779.24,1151.7964
115,752.3916,1153.2461
116,723.7216,1154.3295
117,706.9776,1153.3911
118,705.94507,1148.5594
119,709.3394,1140.5842
120,701.4036,1131.0568
121,685.0963,1120.8301
122,677.4441,1110.6705
123,683.31085,1100.9667
124,694.1914,1091.5471
125,703.2109,1083.0963
126,708.8084,1077.6447
127,716.84735,1077.4338
128,740.3826,1082.6609
129,780.9635,1089.4169
130,816.5304,1092.3848
131,828.66016,1090.5748
132,830.1002,1087.8322
133,843.59314,1087.3334
134,867.7445,1088.0286
135,886.1777,1087.2156
136,896.19635,1083.616
137,905.21875,1077.839
138,914.0576,1072.857
139,917.92725,1071.7598
140,905.4803,1073.677
141,862.6024,1075.96
142,799.4967,1079.0847
143,749.3964,1084.1309
144,727.25354,1088.4543
145,721.8148,1089.6589
146,721.67883,1090.2236
147,723.3998,1093.39
148,725.4467,1097.918
149,726.7732,1100.4357
150,729.72845,1100.1638
151,738.6925,1098.6448
152,751.77185,1097.2109
153,761.20605,1096.7421
154,763.8875,1097.6537
155,761.181,1098.4666
