frame,x,y
0,757.6886,800.37683
1,737.0201,797.65125
2,726.4522,797.594
3,733.39667,799.36414
4,752.94977,803.91736
5,771.3113,810.42163
6,780.1566,811.96204
7,779.49677,807.8887
8,775.1919,807.7576
9,777.2536,816.9484
10,789.3035,828.6316
11,803.25916,831.90674
12,809.8169,824.89703
13,808.0948,815.5269
14,805.86743,813.56134
15,810.73645,823.73224
16,820.9101,836.1014
17,827.1689,835.1767
18,817.8424,826.58234
19,788.9862,827.33167
20,759.6336,835.673
21,757.73737,840.2088
22,783.2111,842.1928
23,804.80743,851.14606
24,797.1313,871.0929
25,767.9374,894.015
26,744.5688,904.7254
27,745.3257,894.05615
28,770.35474,867.92804
29,803.5964,847.04846
30,821.53094,848.1831
31,811.85657,862.71606
32,788.0757,868.37756
33,781.5662,852.01996
34,801.51996,813.95435
35,821.50146,769.92816
36,823.88824,741.85913
37,816.6959,734.8209
38,806.7974,735.68506
39,799.13446,731.9499
40,806.93036,726.42065
41,833.2439,733.04785
42,859.90155,756.544
43,870.3396,784.8449
44,870.0484,800.47516
45,875.9073,794.1222
46,892.90607,772.9117
47,912.6519,752.8149
48,928.39276,740.2867
49,939.3472,732.2163
50,946.97046,729.8058
51,950.72784,733.213
52,951.36255,732.3532
53,956.9289,723.21027
54,965.89526,718.7312
55,956.75397,730.9744
56,916.68555,760.19543
57,857.58905,801.39124
58,802.24426,838.83075
59,765.7373,858.1916
60,731.062,885.30176
61,675.8228,950.4901
62,629.74927,1018.48395
63,636.6223,1035.5353
64,682.44574,1005.22
65,719.3016,960.99976
66,727.8571,919.4789
67,727.78894,881.36346
68,741.0102,842.66064
69,758.5124,806.31384
70,754.09436,793.3669
71,721.2745,821.80884
72,681.8177,870.57745
73,663.6304,901.0108
74,674.82697,910.1481
75,700.95526,921.6435
76,721.00446,943.0295
77,723.2095,965.2652
78,715.6829,979.245
79,715.5681,976.342
80,722.42334,955.8717
81,717.1468,933.6864
82,695.66394,925.9327
83,681.64655,930.33514
84,689.0692,937.39453
85,703.42615,947.1628
86,710.0648,961.25
87,707.8637,975.7648
88,704.4255,986.5327
89,712.8285,990.27423
90,730.6257,986.33954
91,735.72125,978.3937
92,723.1677,969.821
93,717.022,960.3551
94,731.2241,952.77844
95,743.78314,953.4848
96,726.99115,958.4797
97,690.5699,956.1252
98,670.61566,945.62555
99,681.3561,938.2217
100,703.0453,938.00104
101,709.14575,926.71875
102,689.8853,885.1182
103,656.9847,833.9573
104,631.4304,819.2232
105,632.4052,849.60315
106,668.56525,889.5645
107,720.40466,911.1908
108,752.00336,916.9786
109,753.36414,914.7786
110,741.17395,899.70465
111,728.34235,872.49384
112,727.48956,849.02905
113,754.2321,840.8071
114,797.8126,844.6622
115,823.2086,846.88226
116,811.0925,835.4947
117,770.2055,814.9532
118,716.1979,802.4912
119,651.85803,812.6437
120,582.3319,847.2766
121,544.99817,897.29193
122,571.3159,945.4448
123,628.5467,973.59326
124,664.4243,982.43665
125,675.77875,981.8878
126,687.1595,969.2244
127,705.2686,947.44745
128,715.3742,936.7728
129,704.25165,949.4996
130,686.5963,973.92096
131,691.84735,988.0933
132,716.815,974.1038
133,731.0236,926.08704
134,730.3515,863.1184
135,745.38403,809.1553
136,789.61237,774.3523
137,822.333,781.2086
138,799.3454,839.4582
139,746.2971,899.9916
140,728.6284,912.9659
141,769.28564,887.7762
142,827.0526,855.0065
143,841.9728,828.5478
144,801.08136,813.75366
145,753.61914,819.22656
146,749.0846,854.59033
147,780.1191,916.58856
148,806.2777,986.4442
149,803.8739,1039.1008
150,782.89923,1057.2598
151,776.2556,1049.6407
152,794.8951,1039.6278
153,808.22815,1037.2675
154,792.7733,1041.356
155,759.25964,1050.4675
156,724.00214,1058.2626
157,688.7344,1059.882
158,652.9636,1062.9268
159,635.2604,1071.5686
160,661.59814,1075.0602
161,726.4278,1061.7585
162,790.487,1025.2852
163,809.72437,975.04205
164,766.84595,950.2024
165,704.8425,972.4922
166,683.753,1011.1728
167,696.3256,1041.0155
168,702.80133,1060.766
169,706.01825,1055.5144
170,728.7733,1017.02454
171,768.64813,967.0062
172,805.0913,930.02496
173,818.3921,913.7358
174,795.788,913.7475
175,750.1663,922.85956
176,713.4804,937.84326
177,689.2213,961.67896
178,656.9047,996.72034
179,624.2044,1028.077
180,628.8737,1026.3964
181,677.5308,989.3673
182,710.62885,958.5725
183,681.72626,962.4564
184,632.91113,978.639
185,630.64124,976.77637
186,687.49744,954.91125
187,761.9108,931.3573
188,799.59094,923.21173
189,786.9486,930.0695
190,752.5204,942.4508
191,723.9368,956.671
192,707.95593,974.24915
193,701.06696,994.7404
194,701.441,1011.41473
195,697.1194,1021.80206
196,669.4064,1035.3008
197,630.0519,1054.1619
198,611.0762,1067.415
199,619.4842,1066.1233
200,654.4491,1028.6083
201,729.1838,926.0248
202,820.57153,793.41425
203,870.5461,720.44446
204,871.664,734.35486
205,863.6095,779.70215
206,859.66693,807.68695
207,849.4491,814.12665
208,836.6702,812.1397
209,833.9509,808.4841
210,843.44806,801.0672
211,865.2579,786.91345
212,906.8018,769.35706
213,953.9716,752.65607
214,966.8552,736.0533
215,944.9423,724.9383
216,943.82947,731.3038
217,986.32623,752.1478
218,1023.979,768.86115
219,1018.4959,771.75226
220,993.4386,763.6564
221,981.68274,744.9321
222,971.6215,723.9152
223,922.2039,737.564
224,814.1148,816.1033
225,691.68713,921.6843
226,632.7942,982.77026
227,657.7717,987.64197
228,713.7883,983.1922
229,747.80206,996.23444
230,750.21576,1003.00757
231,740.0685,978.5417
232,740.9425,940.09406
233,765.176,923.95013
234,796.0762,947.1969
235,799.62476,990.1329
236,768.4893,1015.6949
237,730.74274,1018.1801
238,715.40045,1011.22455
239,724.07996,988.60254
240,732.775,956.97095
241,726.25494,947.9156
242,718.1415,964.87885
243,719.8093,982.4103
244,720.7782,987.4208
245,711.5352,983.35864
246,693.5402,977.5102
247,669.2025,975.6712
248,650.3113,973.3446
249,672.75824,945.8454
250,757.364,869.9977
251,854.7319,770.0924
252,899.5238,703.29016
253,894.37976,690.90247
254,876.7549,708.556
255,865.8851,730.4366
256,867.79895,746.8185
257,880.15906,755.90326
258,890.9385,755.5186
259,883.57446,743.1155
260,850.83435,724.95416
261,811.5951,713.3696
262,798.21924,709.6594
263,822.08856,702.425
264,855.3235,684.43976
265,848.20404,661.45844
266,791.74786,653.68805
267,742.02344,697.6079
268,730.9186,814.1114
269,722.32367,962.0212
270,694.62805,1066.2117
271,673.4361,1090.1935
272,676.964,1055.1084
273,693.7637,1008.8431
274,707.93427,981.86456
275,710.60614,966.0718
276,701.85925,942.29736
277,712.229,910.073
278,764.9457,880.65094
279,799.45276,865.5724
280,751.47943,873.30493
281,684.08405,886.2214
282,701.0715,861.12775
283,791.5199,798.8643
284,867.4955,759.63934
285,892.57733,770.8255
286,890.505,801.99335
287,883.9631,826.20465
288,884.9485,834.3595
289,896.3524,821.1157
290,900.03186,789.52246
291,864.24207,759.7965
292,770.22125,766.2837
293,651.2562,825.6919
294,582.4948,908.0599
295,587.8457,957.4288
296,612.73376,947.5027
297,625.2669,900.86487
298,659.67017,840.31213
299,737.76025,772.1062
300,819.33716,723.9425
301,857.6814,718.83795
302,859.24274,732.59265
303,854.22394,736.60803
304,857.4034,733.66864
305,875.84454,731.686
306,904.6832,730.89044
307,922.81573,734.4898
308,918.23846,744.4615
309,904.50397,759.3241
310,906.02313,779.7399
311,929.55615,794.2289
312,951.2136,781.1637
313,938.9737,751.9842
314,897.7456,745.7021
315,869.6032,768.89813
316,871.6608,797.2321
317,873.969,817.73254
318,842.4486,835.41113
319,765.789,869.54425
320,669.2751,931.062
321,614.3461,988.9928
322,633.2949,1006.08734
323,683.0092,993.6886
324,699.0714,988.78564
325,670.3329,1003.1076
326,659.7949,1005.2712
327,739.9046,948.2786
328,876.85657,836.40765
329,955.6116,731.75006
330,946.6513,673.81964
331,918.9987,653.61066
332,907.07245,661.5059
333,897.0437,695.6958
334,890.74475,738.56616
335,895.7268,766.82324
336,900.815,772.7012
337,892.8818,761.70807
338,870.20844,744.2304
339,841.2754,733.6234
340,823.9469,739.82416
341,834.88715,759.30176
