frame,x,y
0,895.0607,739.5945
1,883.6277,747.16266
2,826.74457,766.22095
3,739.28503,788.7685
4,685.4585,797.5179
5,702.5317,787.8534
6,761.36414,770.5684
7,811.0461,756.5078
8,834.3926,746.50024
9,843.7378,738.5029
10,850.7935,734.58435
11,860.79987,736.0748
12,873.38135,740.5273
13,880.3382,743.95074
14,871.3743,741.6062
15,847.9011,732.8846
16,833.44366,727.073
17,850.3297,732.0905
18,884.1387,741.35846
19,886.8871,742.54395
20,810.1018,731.58484
21,656.88324,716.7894
22,504.80072,709.13947
23,429.48215,708.5762
24,424.99356,708.6634
25,434.44186,706.4781
26,417.69162,701.1753
27,378.8901,693.8034
28,365.9807,692.47253
29,440.65103,711.4589
30,610.7811,755.0785
31,795.74194,803.26245
32,903.8109,829.91345
33,926.82275,832.32416
34,918.16895,823.6186
35,910.23834,807.95
36,873.3781,780.1767
37,755.2747,740.33417
38,579.4236,701.92523
39,445.28467,681.48083
40,401.31747,679.0679
41,408.1366,682.8316
42,418.3528,687.58466
43,416.15457,695.85815
44,404.45706,707.1185
45,390.5586,714.90497
46,382.35464,714.04236
47,401.72037,708.28827
48,484.0754,711.5956
49,628.866,733.7133
50,769.31335,762.66656
51,840.4621,776.7619
52,851.97144,770.6883
53,852.87134,756.05945
54,863.54895,744.772
55,874.4925,740.44116
56,878.9373,740.2336
57,881.3335,741.68524
58,886.6088,748.0014
59,890.9304,762.25793
60,876.8226,774.7413
61,831.29626,773.0677
62,784.1625,768.4659
63,789.1226,781.6508
64,848.54474,808.0678
65,907.1842,827.72406
66,913.32886,834.0593
67,849.9648,843.22754
68,740.2746,885.1074
69,631.77264,964.00793
70,558.9485,1034.8202
71,530.7024,1058.3303
72,534.7176,1052.3324
73,547.5866,1053.7732
74,556.5072,1070.9885
75,562.7072,1089.9717
76,566.7001,1098.1229
77,565.6412,1095.4497
78,563.29285,1092.3312
79,568.4399,1098.1412
80,578.8211,1110.5195
81,581.4622,1119.2046
82,571.7089,1118.8284
83,557.20996,1111.9312
84,546.1083,1104.3723
85,540.5558,1101.2247
86,538.94055,1103.3939
87,540.7959,1107.8824
88,545.7004,1111.0201
89,548.38586,1110.3363
90,542.50684,1105.097
91,530.27686,1097.7777
92,520.5207,1092.517
93,517.23755,1090.0891
94,517.9924,1088.9738
95,518.98615,1089.238
96,517.42194,1090.3018
97,514.41254,1090.0446
98,516.6721,1090.522
99,531.9636,1098.2395
100,558.18604,1113.753
101,581.3023,1128.9528
102,591.19403,1138.0762
103,591.4483,1142.8003
104,589.91876,1146.5314
105,588.9817,1149.3346
106,586.9092,1148.852
107,584.4409,1145.8134
108,585.9344,1145.6919
109,592.086,1151.4785
110,597.50116,1159.7645
111,598.2942,1167.3208
112,595.79297,1172.9093
113,591.85455,1171.0881
114,586.4686,1156.3109
115,581.58887,1134.9688
116,580.8683,1121.4406
117,583.6591,1122.5228
118,586.6159,1134.273
119,588.9809,1147.9597
120,589.3424,1156.3881
121,584.61523,1159.813
122,577.0618,1161.718
123,573.94727,1160.1661
124,579.17883,1152.1893
125,588.1934,1141.809
126,589.19775,1133.2902
127,575.48413,1124.7524
128,557.20575,1116.4712
129,548.49426,1112.3671
130,547.8389,1110.483
131,546.21564,1105.5187
132,545.6514,1100.0072
133,553.6611,1101.5903
134,567.2183,1110.7677
135,576.9978,1120.5093
136,578.98016,1125.1077
137,573.4025,1124.9468
138,561.3161,1125.9583
139,547.08624,1130.8564
140,553.42554,1121.1152
141,623.2378,1057.5602
142,763.534,927.9727
143,906.98914,783.47577
144,983.88074,689.91626
145,997.6573,660.586
146,992.0612,662.80536
147,991.7686,665.1646
148,997.57043,660.0477
149,1004.1379,651.5996
150,1007.3946,640.0586
151,1005.99097,627.0859
152,1001.98987,619.62787
153,999.23047,616.4355
154,1000.77606,605.8244
155,1000.98596,588.206
156,971.3893,598.16626
157,874.6594,685.3389
158,723.2572,848.4447
159,594.2126,1010.59515
160,542.51385,1097.8464
161,544.25946,1113.2006
162,552.5495,1104.3799
163,552.5672,1099.9482
164,554.085,1102.943
165,566.9268,1112.6731
166,585.34564,1127.258
167,594.5166,1139.4159
168,590.0625,1142.9968
169,578.4396,1138.5927
170,565.2512,1130.3544
171,554.1206,1120.7385
172,547.9258,1110.3483
173,545.2481,1101.2019
174,541.37396,1096.2247
175,535.08136,1095.8325
176,529.67944,1097.3325
177,526.5236,1097.9213
178,524.1216,1097.3431
179,522.6595,1096.8296
180,522.78876,1097.3195
181,522.8801,1099.9106
182,521.70465,1105.0277
183,520.87445,1110.2162
184,523.0524,1111.8378
185,530.49927,1110.2383
186,544.2241,1111.7537
187,560.2161,1122.5171
188,571.7145,1140.7441
189,577.1179,1158.5574
190,578.27893,1169.6681
191,576.9969,1173.142
192,575.815,1170.9668
193,575.2955,1165.3555
194,576.4009,1160.3201
195,583.2644,1159.8732
196,594.70544,1162.5505
197,601.8184,1164.0215
198,598.4794,1163.8336
199,586.699,1164.3135
200,573.2241,1165.6464
201,564.74554,1165.5619
202,562.3269,1162.5656
203,562.9907,1158.679
204,567.6182,1158.0726
205,576.963,1160.8102
206,584.0119,1159.9224
207,582.90027,1149.4302
208,578.0546,1133.9353
209,574.9934,1124.7137
210,572.76825,1127.5754
211,570.4725,1138.4374
212,569.303,1147.9557
213,567.69965,1147.5292
214,561.8251,1134.7264
215,550.14,1116.7548
216,536.131,1103.6698
217,525.9559,1097.9567
218,523.6199,1098.584
219,528.30615,1106.4305
220,533.8652,1115.8127
221,533.85034,1116.811
222,528.0791,1112.0243
223,519.87024,1110.9255
224,515.3936,1108.4052
225,531.0254,1088.5317
226,572.82806,1053.0574
227,604.4154,1029.2821
228,589.4464,1034.2001
229,551.7617,1054.2574
230,531.8973,1071.2192
231,527.3104,1077.3569
232,518.2211,1072.6571
233,503.9913,1067.602
234,488.68442,1074.4741
235,463.37854,1088.5057
236,427.63495,1082.8345
237,410.8123,1035.4303
238,430.4205,973.11926
239,446.0508,955.9748
240,419.72244,996.95123
241,378.55356,1047.6841
242,362.88943,1073.3838
243,377.55914,1084.2562
244,405.3304,1095.3876
245,425.01138,1103.3977
246,424.4985,1100.6261
247,405.483,1087.0973
248,381.17905,1071.5317
249,371.3662,1066.3818
250,384.55966,1075.5964
251,406.95364,1089.5247
252,421.83545,1096.8237
253,429.4634,1095.9216
254,436.74225,1091.8097
255,441.80533,1088.4348
256,438.78525,1086.4728
257,429.34396,1084.6694
258,421.1494,1082.1208
259,418.70123,1079.5746
260,422.38397,1078.8925
261,429.57513,1080.2542
262,433.83118,1080.564
263,433.5617,1078.1803
264,437.40668,1076.1188
265,450.8261,1076.1158
266,467.75137,1074.8835
267,480.76453,1069.5178
268,485.26236,1062.5134
269,475.98392,1059.9845
270,456.449,1064.4213
271,444.42197,1070.0653
272,452.5466,1070.0231
273,473.3561,1065.8862
274,494.7697,1066.235
275,515.35065,1077.1427
276,532.2884,1093.6512
277,536.1543,1104.677
