frame,x,y
0,785.75824,658.1119
1,790.6986,653.3422
2,793.06757,651.38055
3,793.12573,654.0332
4,791.0786,658.0265
5,785.34033,658.40485
6,776.8626,657.0552
7,771.606,659.3305
8,774.8091,662.9186
9,785.66736,659.466
10,801.6498,647.9934
11,821.804,637.6281
12,842.06616,635.0414
13,855.64294,638.24005
14,859.3531,642.9056
15,855.5481,646.3107
16,850.00665,646.83575
17,848.0088,644.75934
18,850.36426,642.19037
19,854.3742,641.6577
20,858.65955,644.331
21,863.6507,648.5746
22,867.3961,651.4351
23,866.4945,650.3277
24,860.9628,643.89056
25,852.6757,636.99316
26,839.62286,642.8456
27,818.13074,669.5488
28,793.0273,704.0579
29,776.47577,723.55286
30,773.4586,722.62695
31,777.9966,713.8418
32,782.8936,708.19476
33,785.7696,707.6575
34,787.4254,708.96954
35,790.492,708.21277
36,801.2671,702.9925
37,825.8632,691.2159
38,859.22986,672.18933
39,884.73236,652.39795
40,890.75574,646.4674
41,880.2726,663.15546
42,861.516,686.7151
43,843.72656,690.0387
44,837.3229,673.266
45,827.6566,664.1535
46,763.2623,678.46246
47,626.7037,703.79486
48,494.62482,721.96454
49,470.94403,724.59985
50,590.98315,706.5907
51,790.2855,673.0964
52,943.5887,647.208
53,986.82526,644.6581
54,965.8345,657.7361
55,915.92114,679.20276
56,807.93207,714.52454
57,658.39795,755.3227
58,557.9547,775.3822
59,548.8365,771.1003
60,582.74347,774.2649
61,611.0669,810.3279
62,638.79016,871.11676
63,692.642,943.5851
64,776.3295,1024.4803
65,862.70795,1093.8605
66,916.76556,1128.1355
67,921.2106,1134.2009
68,890.08795,1131.746
69,856.2287,1124.8328
70,844.20496,1110.5203
71,860.88184,1093.7074
72,895.3541,1080.2667
73,923.4436,1068.9554
74,926.11975,1059.089
75,900.6987,1054.2932
76,861.23016,1053.899
77,829.95496,1052.408
78,814.0037,1050.7809
79,803.77246,1057.5698
80,797.7655,1063.43
81,809.09735,1012.8373
82,844.3687,853.9841
83,882.0609,646.2067
84,888.7497,522.1279
85,860.0093,521.9351
86,819.13666,580.0575
87,779.04834,654.6421
88,737.1774,756.21155
89,705.04645,869.7212
90,708.72974,956.21136
91,753.0492,1020.849
92,808.5384,1084.7223
93,846.22296,1132.1824
94,869.6571,1146.3573
95,888.2905,1134.3335
96,886.36444,1104.0736
97,853.4609,1056.8925
98,808.6507,1000.255
99,775.5155,961.5612
100,765.526,968.5373
101,778.05316,1009.02625
102,799.2483,1046.1543
103,813.92365,1064.23
104,816.4724,1072.972
105,809.1654,1084.987
106,800.4954,1102.1406
107,795.76855,1113.639
108,792.0258,1107.1084
109,793.2352,1088.5089
110,807.4117,1077.8514
111,822.6941,1081.234
112,816.9638,1087.1604
113,793.021,1087.6913
114,775.2822,1086.3887
115,771.6796,1087.9636
116,767.0981,1090.3193
117,752.97375,1089.9291
118,738.5434,1088.6483
119,733.3643,1088.7805
120,734.41943,1089.829
121,734.06433,1093.315
122,733.4349,1098.8387
123,738.3727,1099.8778
124,744.74786,1092.6108
125,739.4349,1081.4434
126,718.527,1073.081
127,698.9179,1069.9072
128,699.1987,1069.228
129,711.6083,1066.793
130,714.1758,1060.7781
131,701.8787,1053.1311
132,684.21484,1047.2852
133,667.45746,1045.8884
134,652.4005,1050.5524
135,641.2415,1058.5955
136,657.72076,1058.5792
137,740.47925,1040.357
138,869.7556,1014.6196
139,955.62085,1001.8322
140,951.80554,1000.37695
141,905.4756,994.01056
142,875.9774,981.03174
143,874.7075,972.1122
144,879.4499,974.1043
145,871.4186,987.2886
146,856.164,1009.7021
147,849.15955,1041.491
148,855.9857,1082.9304
149,873.8288,1123.4998
150,894.975,1142.4922
151,908.1667,1132.0991
152,907.412,1107.7067
153,900.61,1087.1366
154,899.7646,1076.1306
155,893.94885,1073.9451
156,856.91046,1075.6321
157,796.2475,1073.0151
158,753.71967,1064.8895
159,750.862,1059.6941
160,772.8073,1060.3068
161,791.40576,1056.7496
162,786.79144,1044.2887
163,765.6066,1034.9165
164,749.0333,1041.6407
165,741.7779,1062.9039
166,737.88873,1083.8206
167,736.5387,1088.9391
168,735.05994,1077.3243
169,733.17004,1063.6542
170,736.64386,1062.0024
171,743.5015,1070.901
172,746.7654,1077.8202
173,740.76263,1075.8982
174,718.3432,1069.1724
175,687.6408,1063.8256
176,674.32465,1062.083
177,687.1598,1061.7067
178,705.8124,1056.7335
179,708.73096,1043.571
180,698.1928,1028.4088
181,687.9778,1021.03937
182,678.455,1021.2944
183,665.89435,1022.4772
184,651.04736,1023.9442
185,625.7463,1028.6273
186,594.80536,1034.6309
187,613.1858,1034.4016
188,731.82837,1021.16675
189,890.811,999.454
190,973.78143,980.042
191,966.6692,964.20044
192,933.7489,950.6739
193,901.5472,947.38196
194,867.74725,959.00183
195,841.58435,977.80743
196,833.69714,995.9301
197,855.4625,1016.48987
198,914.9564,1044.5477
199,982.1192,1070.358
200,1007.43774,1076.1166
201,993.62054,1058.5731
202,981.734,1032.1217
203,975.2538,1016.8791
204,946.70557,1026.3376
205,897.76935,1054.6863
206,856.9934,1078.8376
207,841.56665,1075.7933
208,853.23816,1039.7568
209,880.1387,991.68475
210,891.61584,965.0726
211,862.14685,976.7079
