frame,x,y
0,671.03503,720.7929
1,668.2287,720.7548
2,669.44507,720.91437
3,673.9386,720.0478
4,678.825,718.35315
5,686.1982,722.2986
6,697.997,735.3685
7,704.12335,744.078
8,695.97766,735.90393
9,683.7341,721.1774
10,680.0829,714.3038
11,684.9088,714.57294
12,694.36426,715.5909
13,705.4945,714.95703
14,702.504,713.20355
15,655.4836,710.4896
16,563.6018,706.4616
17,480.18546,703.19617
18,456.5192,705.2423
19,503.47873,717.7831
20,612.13885,739.25793
21,736.1723,750.85284
22,803.62054,739.10364
23,800.4851,725.3039
24,770.83325,731.34906
25,749.3962,740.73553
26,746.9248,732.98193
27,761.8341,718.6598
28,777.25305,712.7191
29,753.2322,711.5062
30,656.2819,709.5456
31,524.29913,710.5694
32,443.32352,716.49927
33,454.3395,723.7092
34,542.4566,729.14795
35,659.36444,727.1601
36,737.5653,715.271
37,750.18884,704.4389
38,731.1036,706.5947
39,721.08734,723.51306
40,729.91016,745.8644
41,740.1251,755.2947
42,731.2047,742.3249
43,701.57965,719.1317
44,665.1715,703.64874
45,633.93726,699.2306
46,615.71173,699.552
47,622.3266,706.45215
48,654.0021,722.3575
49,677.9497,730.66876
50,667.2626,717.7341
51,646.7695,697.6606
52,652.3685,685.46857
53,674.467,677.8456
54,660.5709,669.3095
55,572.2926,662.08435
56,460.10443,665.02094
57,430.46533,685.49005
58,514.24457,713.24335
59,632.4675,723.29376
60,695.35474,709.4012
61,688.48364,696.2803
62,654.47076,704.2232
63,626.82495,723.1794
64,610.4152,727.72864
65,602.24207,707.7586
66,600.2737,681.42145
67,597.3257,670.39685
68,584.50366,669.26184
69,562.4798,657.8605
70,541.772,636.97064
71,530.2026,626.2509
72,520.662,629.3996
73,497.4547,629.3866
74,464.05188,620.35724
75,457.39706,620.8149
76,524.02637,649.8105
77,673.0725,695.5149
78,842.837,719.072
79,942.2762,709.6892
80,942.2166,705.90173
81,867.96326,728.61194
82,723.1795,743.6854
83,533.2945,724.51074
84,405.97443,695.3818
85,423.55734,687.4147
86,525.5694,695.11084
87,581.0977,694.3882
88,554.825,683.7677
89,520.9583,685.88794
90,521.86615,707.29175
91,522.4966,722.2787
92,505.22763,711.12646
93,500.77798,687.8975
94,519.9661,672.67725
95,540.51135,668.1168
96,551.05304,669.7352
97,555.4561,673.7275
98,554.57635,677.5401
99,545.5624,678.79297
100,533.00665,673.4175
101,546.8199,666.187
102,627.3942,676.7406
103,752.67053,709.2706
104,835.59845,737.90546
105,831.79987,754.80457
106,773.7305,783.0081
107,707.15515,820.50366
108,644.02747,832.37787
109,573.81396,801.9438
110,508.83524,749.4792
111,461.41257,702.1832
112,415.57236,670.2945
113,377.53592,653.13226
114,369.77264,646.39655
115,383.8241,644.86365
116,397.5145,646.348
117,403.4798,649.22906
118,406.24847,650.0396
119,409.38983,646.8976
120,414.71878,642.50635
121,425.51257,640.5084
122,433.3631,640.05676
123,421.15765,638.4936
124,405.80908,637.93475
125,440.0703,645.14026
126,535.7784,662.85443
127,619.8819,680.2876
128,612.0668,681.4923
129,525.9304,669.0319
130,441.03778,665.00055
131,413.61047,684.3437
132,439.36023,714.1564
133,460.7964,722.75037
134,441.15747,698.4868
135,411.64487,665.11975
136,399.67856,646.2525
137,384.45953,641.36255
138,355.75656,641.4885
139,373.74203,650.609
140,511.0086,681.30914
141,710.967,724.65607
142,822.2242,751.4511
143,801.31287,757.22943
144,738.78735,764.0276
145,715.00726,776.6775
146,732.0813,787.60767
147,741.64056,803.1202
148,713.2423,825.2402
149,667.1582,842.41156
150,625.18726,850.33435
151,590.8779,853.9057
152,579.2137,856.4601
153,601.79425,858.87524
154,637.9813,859.6658
155,655.7018,855.13446
156,652.2118,843.9657
157,660.9484,830.4721
158,698.406,820.96576
159,717.62054,817.0451
160,680.52374,814.4655
161,632.13196,806.3513
162,622.5837,788.5487
163,637.23065,767.22986
164,649.2083,755.33795
165,669.61304,757.79474
166,710.843,765.9709
167,733.0276,767.33167
168,699.43036,760.0524
169,648.9852,753.3979
170,633.57184,751.07916
171,651.27264,746.9915
172,673.72284,739.30817
173,683.8914,735.2628
174,693.00275,740.49426
175,717.16724,749.65985
176,730.87244,751.74243
177,700.0656,746.6272
178,645.3222,745.4336
179,609.75586,750.30225
180,607.93964,747.577
181,631.4699,725.2732
182,663.75476,693.66266
183,696.55646,681.7508
184,733.3235,703.70154
185,759.96,733.25305
186,754.5576,732.43604
187,737.49225,708.6259
188,749.7492,705.62085
189,778.79663,733.6934
190,770.3073,759.2977
191,716.6852,762.59534
192,666.49054,755.9012
193,649.01294,752.4574
194,657.8198,752.9895
195,688.35144,755.2821
196,728.1172,759.1679
197,739.7801,765.634
198,710.4328,773.2697
199,673.92914,777.9621
200,653.62506,779.27856
201,643.642,780.3973
202,641.2107,779.2675
203,648.7541,768.59436
204,661.27997,749.3191
205,673.7719,734.0395
206,693.0049,733.02924
207,720.9517,743.6949
208,734.4608,752.88666
209,726.63666,755.0959
210,735.10364,762.5985
211,768.0497,778.97675
212,780.62195,783.7183
213,770.30444,764.736
214,781.11115,738.0696
215,811.3796,723.5229
216,826.4913,725.95953
217,825.2997,740.029
218,828.19794,757.97345
219,837.26794,772.7924
220,837.50037,777.6046
221,823.28955,770.5435
222,807.85114,760.1072
223,804.87085,756.0043
224,809.3308,757.96655
225,807.0563,758.366
226,796.4798,753.2553
227,785.9739,748.2373
228,781.1918,750.60236
229,785.5713,757.9866
230,799.46686,761.0386
231,816.9566,757.2288
232,832.3104,752.2369
233,842.19055,749.0231
234,848.3658,747.89923
235,865.5695,744.86743
236,897.3719,730.336
237,915.7803,710.29175
238,904.7999,702.4101
239,890.18945,704.5253
240,895.42676,705.30176
241,905.9744,708.8615
242,895.2577,721.9344
243,864.6283,737.71344
244,840.6639,744.5643
245,838.74097,740.89105
246,850.33856,734.6144
247,861.5157,732.2595
248,864.6837,733.7747
249,860.0996,735.31287
250,856.40656,733.9201
251,861.3484,729.1447
252,870.63513,722.0976
253,875.1316,714.9548
254,872.65967,708.7919
255,863.2643,701.1545
256,845.6485,689.71173
257,827.1883,678.04047
258,821.9804,675.5774
259,829.9659,689.6838
260,833.18176,714.07056
261,824.1419,732.8786
262,816.3324,740.32404
263,814.90967,742.3387
264,808.4156,742.8169
265,789.5274,743.28143
266,761.7979,745.63873
267,740.36566,747.78394
268,737.27057,749.0614
269,737.9007,755.7836
270,727.1238,767.00244
271,721.07086,769.20966
272,736.27423,760.6346
273,757.3202,758.9959
274,759.2359,770.0045
275,750.1611,775.4705
276,766.9388,765.43
277,818.2191,752.91846
278,871.85223,747.94635
279,904.4396,743.99945
280,916.9372,737.6279
281,913.9605,736.1073
282,900.8886,740.79395
283,883.6738,744.1872
284,865.15765,741.95654
285,853.0856,736.6041
286,854.75665,732.4535
287,856.7018,730.82336
288,841.4358,733.25323
289,824.0749,742.2251
290,828.21783,751.27734
291,844.32306,749.9622
292,853.60333,739.7619
293,857.21674,728.298
