frame,x,y
0,355.06747,712.09973
1,412.39886,702.5401
2,528.8444,733.1854
3,631.42816,775.86774
4,626.0721,783.0253
5,548.66003,764.39954
6,490.75882,756.88354
7,482.62436,768.8652
8,513.54236,788.6649
9,569.76556,802.18677
10,630.4868,795.9179
11,674.7081,769.4004
12,699.2363,744.15234
13,712.7139,746.2598
14,719.6502,780.5771
15,724.23413,828.8675
16,734.2321,870.4674
17,751.10754,898.17834
18,768.12,916.77747
19,774.7131,932.2409
20,748.593,939.81573
21,669.494,927.4367
22,568.15137,897.7913
23,512.19934,868.44183
24,526.07153,847.4603
25,581.24115,834.2506
26,650.10944,836.8536
27,722.8881,864.52686
28,786.4562,905.4563
29,815.65344,930.3758
30,796.69116,925.3038
31,749.32697,906.39795
32,708.94556,898.722
33,691.6555,911.6933
34,691.4364,935.66235
35,698.85736,954.37683
36,707.2761,958.6792
37,714.20447,951.90173
38,726.811,947.85236
39,756.0548,964.1786
40,796.52515,1005.2589
41,825.62854,1050.32
42,832.51666,1076.3699
43,828.96686,1087.7925
44,830.7687,1102.3114
45,842.8811,1119.3586
46,857.72015,1124.3517
47,865.4282,1113.5293
48,862.1388,1094.506
49,847.56104,1067.3771
50,828.9564,1018.0469
51,811.9058,937.83795
52,767.70233,849.5379
53,664.05804,790.6681
54,556.8781,772.41516
55,560.10187,781.1149
56,691.472,802.0551
57,838.4417,824.83203
58,898.3262,844.66565
59,878.9716,863.9661
60,841.487,883.9093
61,806.09753,897.4356
62,738.29443,894.6811
63,610.05273,872.938
64,468.7623,840.61456
65,400.1555,805.9507
66,420.68875,767.5312
67,468.72714,728.6057
68,482.10858,704.3055
69,446.68665,702.2526
70,399.74292,710.13055
71,407.54163,711.619
72,508.93216,706.83905
73,653.789,705.4063
74,745.38666,708.7632
75,755.2339,712.505
76,728.77155,715.55835
77,707.2627,719.07245
78,701.51245,725.9413
79,706.0686,745.9182
80,711.76056,788.1733
81,715.4693,840.7769
82,721.99695,876.2431
83,735.3685,886.57825
84,749.7024,889.6193
85,750.8113,897.7008
86,731.2199,907.79346
87,705.98444,922.1651
88,704.7042,944.88513
89,736.86945,962.6245
90,769.0089,960.89734
91,762.7301,940.8147
92,734.4254,907.3495
93,731.2825,866.4515
94,760.7385,832.97095
95,786.2557,827.811
96,768.85455,857.0539
97,705.2565,892.6997
98,633.84326,892.0963
99,587.9516,851.848
100,570.81726,832.97363
101,569.2592,892.95703
102,558.2112,1005.7152
103,531.45105,1099.6089
104,522.21014,1136.0024
105,548.43085,1115.7753
106,572.7306,1058.7423
107,555.8719,997.69617
108,514.7798,969.81476
109,487.33334,997.1686
110,479.98917,1060.8689
111,485.41208,1108.3553
112,508.02713,1111.1049
113,552.0336,1092.8712
114,605.1519,1086.3738
115,643.97174,1092.41
116,659.1587,1090.8448
117,664.0119,1071.0964
118,672.07404,1044.4823
119,682.6353,1029.2435
120,689.7821,1028.5928
121,692.4101,1032.6841
122,694.5797,1034.5902
123,699.2296,1033.8204
124,698.5717,1032.9073
125,676.3926,1034.3247
126,628.7875,1033.8906
127,574.0911,1021.4186
128,535.2965,991.6716
129,519.8268,947.55994
130,518.48615,896.2853
131,519.78625,849.422
132,520.2353,818.10675
133,521.40247,805.5305
134,523.95575,812.5348
135,525.6879,842.27765
136,526.0398,888.53326
137,534.39417,934.7851
138,565.19366,974.54456
139,618.7545,1015.0881
140,674.76776,1055.6377
141,696.8877,1074.92
142,643.99524,1045.4071
143,529.51715,968.48926
144,440.4836,889.2159
145,415.99173,847.9872
146,408.36337,840.104
147,401.60956,841.943
148,413.77728,840.276
149,428.51227,838.18317
150,441.41153,849.3491
151,484.92047,877.3991
152,557.53577,906.8656
153,617.491,923.10425
154,666.9842,934.7416
155,754.78955,958.80194
156,868.95905,988.85614
157,918.8984,1007.72327
158,862.8842,1014.7053
159,765.78564,1015.14624
160,703.95984,1010.3285
161,689.4315,1006.20825
162,701.20526,1014.4733
163,733.67303,1037.5609
164,791.3704,1053.3645
165,861.3306,1039.1632
166,915.78564,1008.59595
167,939.50165,989.93634
168,937.15234,987.1377
169,918.7384,990.5313
170,893.618,997.60724
171,870.56805,1006.79755
172,851.9819,1011.51843
173,832.4561,1009.42285
174,808.0606,1005.80804
175,784.2713,1004.3834
176,770.5318,1002.8771
177,768.6936,999.0263
178,771.30865,996.22034
179,769.7777,999.54724
180,761.4804,1008.6295
181,750.4243,1017.85724
182,742.48505,1020.81
183,740.1085,1015.32916
184,741.8225,1006.5457
185,746.6611,1001.60236
186,755.18646,1002.08704
187,765.85376,1005.0093
188,775.59467,1007.5699
189,782.68365,1007.7942
190,786.26245,1005.2634
191,787.03876,1003.6081
192,790.1384,1007.29926
193,799.3397,1013.84955
194,804.30054,1014.56476
195,789.1779,1006.7314
196,760.10846,998.84595
197,741.1764,998.72455
198,741.24347,1003.611
199,747.2746,1005.96075
200,744.49725,1002.54944
201,727.15955,996.7449
202,697.20056,995.3496
203,665.506,998.98267
204,653.4723,991.88904
205,675.4294,955.67535
206,715.9596,899.8924
207,746.63434,854.8003
208,757.60815,835.6521
209,752.8657,838.54834
210,736.4875,854.8302
211,714.5118,875.0648
212,692.06616,893.61584
213,670.8809,911.82446
214,655.6848,931.79114
215,653.779,950.87537
216,665.37695,965.86523
217,680.96796,977.83496
218,690.4724,988.95874
219,691.67816,998.3759
220,690.1791,1003.4119
221,693.20654,1003.32007
222,704.3823,1002.0848
223,723.2666,1008.6573
224,743.9796,1029.5021
225,756.18835,1056.4895
226,755.83716,1073.4401
227,750.58856,1076.9772
228,750.65875,1075.1991
229,761.06,1071.7664
230,779.77325,1066.3597
231,795.81213,1062.6213
232,796.5941,1065.4867
233,784.2203,1074.8257
234,773.86945,1086.0012
235,772.9133,1094.6667
236,775.45294,1099.4681
237,775.6389,1101.3254
238,773.9068,1101.6947
239,772.9148,1101.5261
240,773.8308,1101.3037
241,775.85754,1101.8218
242,777.4806,1103.6613
243,777.19885,1105.9602
244,772.7113,1107.634
245,759.6384,1109.4124
246,735.51184,1112.8722
247,708.82587,1118.2771
248,693.694,1124.6969
249,691.67816,1130.359
250,692.64655,1132.4528
251,691.90314,1130.2173
252,692.94543,1127.936
253,696.05054,1130.3749
254,697.2037,1134.1555
255,701.3136,1126.1355
256,721.7056,1097.4089
257,756.697,1061.1222
258,785.72485,1039.5781
259,798.5136,1032.816
260,805.7334,1022.696
261,819.16205,1001.686
262,840.3869,979.6156
263,865.5594,968.11743
264,887.2867,967.15784
265,888.003,966.7244
266,851.88965,959.9535
267,805.92505,954.4325
268,806.23505,959.22266
269,848.8645,950.2853
270,859.1643,886.38654
271,797.8277,785.7324
272,721.60535,722.5155
273,723.72144,726.8203
274,826.6304,761.2754
275,943.4041,788.16565
276,970.97186,799.69403
277,898.94574,805.43805
278,785.0573,829.1546
279,673.4207,895.06116
280,589.43353,988.5359
281,550.4551,1062.8875
282,541.72626,1096.925
283,541.8609,1099.1807
284,547.85046,1069.5656
285,528.2958,1000.01526
286,444.18268,902.9979
287,336.43738,817.8232
288,297.1914,777.1632
289,395.27332,774.5018
290,652.13403,770.643
291,970.87256,732.4358
292,1158.9246,672.41974
293,1128.3795,628.01605
294,961.56305,605.81213
295,777.4481,590.3647
296,640.5735,585.3144
297,563.517,603.8345
298,531.4001,639.8957
299,527.7721,673.4918
300,544.9713,689.95386
301,571.94476,684.06476
302,592.35785,659.83295
303,600.3344,632.92847
304,597.6328,624.09314
305,579.23926,642.05615
306,547.84863,669.2014
307,529.7317,671.08563
308,546.845,635.1848
309,583.0402,595.6414
310,602.1849,595.8203
311,591.3807,635.33905
312,566.688,681.0467
313,548.3812,708.01447
314,544.8201,710.1178
315,554.21106,696.5693
316,576.1802,686.1412
317,618.05566,692.4466
318,682.94275,717.5789
319,757.2082,759.807
320,819.97455,809.72156
321,857.98145,833.5696
322,872.591,795.8065
323,872.39844,720.7071
324,851.998,690.5474
325,802.28906,750.7998
326,746.07153,849.41455
327,718.85175,903.94446
328,719.87915,897.1675
329,732.21686,868.9804
330,763.68695,858.36615
331,812.5718,877.41956
332,832.436,895.32935
333,790.35547,863.51355
334,728.4005,795.6084
335,715.1981,774.44446
336,749.6054,843.27
337,768.64545,943.5132
338,763.57477,1003.3904
339,790.10455,1025.241
340,848.34406,1035.8994
341,882.4937,1032.5752
342,874.97595,1015.7204
343,835.5722,1006.51086
344,757.6221,1016.8528
345,658.47144,1033.654
346,598.18866,1039.2667
347,605.08295,1034.6458
348,644.6994,1030.3702
349,678.3585,1027.0779
350,698.43225,1019.0583
351,711.8406,1007.8651
352,721.1562,1001.0279
353,724.461,1001.57074
354,724.00775,1007.5801
355,726.9152,1017.9089
356,735.89465,1031.114
357,744.3585,1044.7792
358,744.976,1058.6696
359,739.8873,1072.9434
360,736.9816,1085.8699
361,737.8191,1098.4265
362,735.73865,1114.8115
363,718.9497,1129.9545
364,668.2951,1125.2821
365,580.5446,1089.125
366,497.24002,1032.9025
