x,y
808.602,771.1023
768.1109,808.5367
766.50793,806.02203
795.32623,921.7734
745.2566,769.6187
728.64557,819.1625
711.6296,878.3907
715.4743,883.628
735.4251,856.4596
734.9138,857.63416
732.2732,851.4306
767.2721,805.06256
770.7589,800.9597
764.8451,836.4716
774.6174,803.33777
871.2337,914.94904
859.3768,905.5022
853.6501,908.3047
827.37213,874.3931
794.7586,895.5346
829.7008,895.1546
827.5795,889.54736
830.012,893.886
767.5447,860.4241
757.971,882.4909
715.0022,873.87103
659.8239,851.7473
773.9751,845.764
769.14685,837.56995
787.7585,831.8261
690.78156,881.3456
681.9472,861.3139
777.3869,853.2456
773.4921,858.96313
769.65765,862.34094
789.3127,875.0161
722.26843,900.61
823.692,836.34393
779.92316,845.0002
733.8429,907.73956
808.6853,928.31067
809.10944,923.0673
719.26697,823.6889
716.078,830.19653
710.82043,833.04285
660.3234,844.74915
642.73914,842.28394
626.3325,855.48865
710.2517,828.82916
699.1643,838.6721
696.30975,843.52924
692.4942,850.95667
758.2864,881.2593
774.07666,850.51984
774.25775,870.73987
805.08215,855.16925
765.99194,868.05927
797.4981,860.86224
821.54376,794.9247
800.6562,834.16724
779.4531,849.0629
791.56464,847.80054
802.2113,830.38916
816.0709,826.7048
816.4906,840.7951
804.3721,850.9401
682.97784,787.48724
700.8797,785.5378
713.8686,809.5514
664.8304,782.9059
662.57056,786.0341
657.18884,780.64636
656.6341,799.19916
656.60614,796.0505
804.4746,820.43604
796.7438,856.95386
783.1141,904.1709
779.0053,894.0596
777.212,882.7792
661.32874,797.40967
662.8379,814.5926
681.82904,776.1785
703.2496,802.0034
746.8349,851.99384
742.66095,880.7713
760.38885,869.6534
764.30505,875.7196
766.4265,902.74725
760.29785,917.2636
759.6373,780.76764
718.59503,837.8522
709.2025,866.23615
797.36053,897.353
780.661,909.7599
756.782,931.4103
868.47595,766.3596
824.9358,794.0417
773.8853,806.50494
775.661,838.99786
806.3734,853.7631
811.3691,865.9023
820.63,888.8219
858.4763,892.6923
916.26373,905.2002
1048.5691,927.60846
553.13763,818.7896
348.96127,814.2228
277.9865,871.2768
300.6168,863.2373
277.21347,900.401
308.2441,920.5313
341.40298,884.53876
930.3382,740.5075
1073.5343,742.28265
1028.1191,771.36755
1041.4388,769.11316
962.61285,780.0504
1053.7612,796.978
1110.1141,793.6452
566.32587,827.39105
453.85834,924.1777
480.35962,873.6643
457.14258,870.2168
952.1493,996.6285
852.4316,901.6515
775.6098,940.9819
755.7767,872.18915
741.025,849.68146
740.42175,839.64667
742.03125,873.08923
755.59607,889.5269
759.2766,863.46674
797.93445,879.9942
794.4344,861.46014
742.24054,865.92523
828.2472,881.8426
803.7106,909.7886
808.8234,905.4967
784.77814,875.2626
772.0595,841.72797
870.0432,718.678
831.20245,727.2135
753.6264,725.51373
709.57587,730.5425
675.42664,728.89386
656.49713,751.4756
646.01483,798.42285
651.8428,817.8158
668.11804,848.5269
811.3053,790.0006
778.5399,828.86163
789.1857,846.49023
781.3206,846.60785
781.6455,893.8804
669.384,960.3002
629.2313,880.52075
1007.28186,951.98364
948.87787,938.87555
870.87506,851.80646
845.7777,859.2316
834.83545,858.298
746.1519,871.40814
746.63135,872.7714
601.43195,897.47516
585.39514,903.02673
800.9976,892.67615
506.58554,867.48895
396.9166,866.0979
385.40295,856.3992
755.5414,861.98505
772.2925,1004.2452
820.7298,915.1582
809.49646,910.4326
793.8167,962.49084
756.6572,913.53876
741.89886,918.54456
733.04236,926.36456
735.0338,921.27313
734.794,913.654
732.8942,888.0759
752.70404,895.1724
731.13574,897.17285
762.8207,862.95825
757.8832,867.61755
759.882,865.08105
719.5071,875.88464
718.0026,847.72107
700.8732,846.6526
695.46295,824.43695
680.94617,805.89886
672.7745,807.4017
666.39886,797.4525
673.0355,808.74207
669.7828,837.9903
664.25037,831.01196
661.92676,813.16876
661.3192,814.3346
667.9444,812.46045
670.1225,802.2095
670.7631,805.47424
676.5494,820.6373
666.0021,809.8343
676.7934,832.4713
671.5666,823.4209
671.21423,836.17975
662.4857,850.64215
665.15155,842.76245
647.3186,827.31476
665.25714,829.13135
679.7097,840.26196
682.44617,817.72076
679.0761,856.1371
679.13696,824.79376
704.9887,848.33813
721.91943,846.7609
718.97766,862.57764
710.60724,848.872
700.0665,869.5123
675.506,874.97687
670.3135,888.93506
654.65344,884.6813
646.63824,884.2542
645.4805,884.4648
636.7885,887.1925
640.13934,877.9856
644.6939,877.6441
648.25183,875.073
645.7814,869.6103
649.3982,867.21655
645.15656,867.1046
638.20764,864.4349
616.83905,848.7748
619.12305,845.8659
622.31506,847.9797
623.81415,863.6156
629.3518,850.333
627.1103,851.6658
630.73047,855.3743
634.1129,854.65906
632.7429,847.9776
627.14294,842.7088
631.4878,834.0984
622.7245,822.23505
609.0211,826.93896
611.71564,830.361
634.42694,863.4427
642.79156,887.52203
648.8792,884.0794
653.44934,867.7232
654.05145,869.4588
669.8853,872.598
686.71783,884.0355
707.0166,896.0223
730.34607,895.192
750.7137,871.6728
750.34564,867.3798
732.5938,870.8446
763.99207,947.41754
751.5213,842.9265
740.875,893.8428
727.112,876.78284
770.934,892.3689
757.36035,873.48804
752.7077,864.18585
735.58594,853.22437
722.17084,851.9342
719.7705,858.855
700.40454,855.0868
709.9909,845.3766
713.1982,834.03937
716.024,822.36676
725.7197,825.287
739.7438,817.68085
754.2963,824.232
758.3515,826.5018
767.08246,838.09937
768.1161,845.7734
782.3226,863.4146
728.96436,858.0901
728.53357,856.0157
737.17395,853.02997
720.2617,851.3769
700.32764,844.49567
681.25775,848.8713
684.4512,845.8605
680.01166,838.76
676.12036,839.7931
672.3056,842.41266
661.007,834.18976
663.79175,825.109
662.89124,824.07245
647.05383,832.6874
653.3271,840.8653
658.65594,839.3763
662.83344,845.37415
669.98157,841.0578
666.7589,841.03265
663.6528,835.24536
653.99146,832.6067
653.84863,831.24445
650.13666,828.63477
636.5331,838.77905
641.9524,844.5519
640.68427,843.7588
642.5035,846.85583
646.29736,850.1675
637.29254,846.37305
640.68097,849.3532
638.9571,858.92664
642.90533,861.7062
639.5049,884.66895
671.77313,893.3137
682.6702,874.07007
741.6575,843.2799
726.9597,827.3383
739.62805,824.90515
752.5527,833.61993
763.17114,859.16003
775.8719,852.11084
780.45215,849.98
782.4686,846.2277
769.43884,875.86646
780.011,824.19086
715.3542,954.84174
829.0885,792.5887
780.5022,836.2448
767.5076,835.27405
755.7314,845.2493
745.7723,848.86053
762.99994,860.76025
765.4029,845.3833
770.5355,846.718
761.95746,847.4462
732.3915,893.297
728.5457,871.61865
776.74176,846.73285
758.9417,843.0219
762.22943,846.3523
