x,y
789.815,771.18555
797.80164,768.5167
785.88696,770.08154
790.9214,772.3587
772.3023,769.0794
795.81604,772.143
797.7488,768.92255
801.53516,773.01404
792.02795,775.32153
793.6412,774.9743
787.2335,770.96606
788.4269,770.1974
770.60425,772.2352
766.7114,774.8586
779.2673,776.27167
782.83014,776.1901
756.8716,775.05
789.7508,765.6753
788.02563,770.8463
786.9259,771.4344
811.54456,769.9242
807.3977,770.629
794.3408,777.85925
784.10986,776.1232
816.52765,772.60443
803.488,772.97424
793.1187,772.7496
789.5342,771.60394
810.84564,766.08105
801.47577,768.8779
807.298,765.62775
798.8255,769.6858
790.5495,773.46564
799.8213,769.25226
780.6952,770.7451
782.3465,771.5313
796.1233,766.28076
802.5909,772.90186
793.69183,766.465
804.8001,766.3786
774.5666,776.22235
783.0518,774.42615
780.56995,765.1443
789.4595,770.6712
802.25226,773.0422
783.8435,775.7068
794.7895,770.22107
792.6042,774.77936
796.004,771.34705
782.0335,772.8152
807.0063,769.21985
799.6914,770.6866
798.0446,772.8154
789.7498,769.23773
785.8314,770.0114
786.5934,773.8134
775.9416,772.18494
764.63574,771.8982
793.92633,777.24774
789.09674,773.47504
802.6914,774.378
795.7604,774.81165
801.90375,771.56226
792.62756,768.3331
780.915,768.07623
798.6082,768.8954
788.80963,769.91486
795.99756,767.413
790.72266,768.70856
788.3021,771.4688
793.3279,771.66315
794.797,763.6917
799.9843,769.5202
781.04486,771.273
792.26764,769.26575
797.98804,771.03204
799.14996,768.04895
796.2718,767.86176
795.80444,768.68414
808.8014,772.4157
795.8295,773.00104
789.18835,766.1915
794.1045,771.8715
791.8842,772.5938
786.7415,777.02057
799.52356,771.58997
797.83563,767.75885
794.265,772.4924
787.72363,766.1674
811.25323,768.02594
795.0005,772.5879
793.95605,771.6798
799.6976,769.5739
800.8087,766.3568
807.8395,764.4497
770.6467,776.1434
808.5544,765.8824
797.02454,768.3148
792.15735,771.6754
798.5564,768.1136
794.2109,773.15796
798.3863,767.59937
801.9953,771.6641
804.36914,768.7497
808.1799,767.36127
803.1592,770.73303
798.6548,774.6436
784.2092,770.61664
791.8448,767.57837
797.3436,771.41675
801.1681,772.68506
780.46045,776.183
785.0893,775.89874
797.655,767.10297
788.0132,769.5158
805.0353,768.561
808.77026,768.3649
793.65796,772.01965
800.2118,771.3561
798.3609,775.37335
812.0498,768.9246
790.91205,768.62897
785.5115,770.56494
785.67365,770.1752
785.2403,771.11334
778.3257,772.5445
810.6101,767.7817
784.0384,773.551
780.21,768.8503
812.5189,770.0896
795.83,771.54114
796.24725,770.44305
798.2822,767.895
806.3912,773.6363
795.88885,769.17267
791.0856,771.99036
793.3023,765.52875
812.0127,769.11865
796.34784,770.5802
794.0536,769.36786
804.50287,765.77466
790.14606,773.65295
797.44476,765.69366
803.76245,765.2506
801.9813,768.7711
788.32245,770.96576
791.60065,773.2507
788.8207,771.30005
804.00745,777.05206
787.05975,769.5698
799.23956,769.75397
795.5302,768.1234
788.4652,769.8106
808.7029,764.2185
804.838,769.46265
801.49347,771.97296
797.03143,766.00006
794.3037,768.3963
797.0288,773.26685
787.4892,774.3628
790.4603,773.6183
787.53546,774.377
802.56915,768.6891
773.323,773.89716
801.02936,766.651
783.071,772.34015
784.1661,773.18005
776.8443,775.7159
786.34076,768.61926
784.94543,773.981
793.38574,767.9883
794.4557,767.6866
793.03937,774.7898
802.73285,762.84033
788.4291,774.17096
790.5701,771.2006
801.6928,765.6158
783.3326,770.3992
790.0621,771.0124
776.24615,772.3119
801.49493,774.67224
779.6101,772.1817
782.039,763.8133
786.2572,772.8074
772.995,775.05634
796.8294,766.7894
804.75824,774.67236
801.47565,775.4838
821.66284,774.726
804.9354,785.16473
800.2277,778.99194
798.25354,784.5858
809.3437,785.72186
845.104,813.47266
797.2281,779.1435
818.9318,798.0178
815.9606,784.68243
839.8402,773.2036
841.8753,764.76337
843.68506,769.61694
845.25867,765.8402
840.37744,759.14453
861.1559,766.68823
852.3694,767.04535
836.4396,768.66724
828.1327,768.1143
813.93726,769.00305
830.65704,766.0543
828.8884,766.4765
821.25336,765.09686
807.6757,765.1999
827.5467,767.0302
814.8609,762.66547
809.0227,764.5347
827.7271,752.9263
820.16724,759.4345
818.4898,766.63635
813.0437,767.2794
827.1849,766.45197
885.8277,762.4085
910.4687,760.7409
879.8278,738.9647
869.8195,725.6509
871.919,732.7203
857.0881,763.01685
879.40826,759.884
868.6148,770.41376
867.5172,785.4112
893.27563,753.02783
878.9452,757.6054
865.2613,758.2882
878.48834,766.15216
857.3709,740.24585
837.89075,735.64954
828.02466,754.1281
912.3466,782.9494
929.5774,780.307
919.7795,787.12286
905.12695,796.2563
917.98645,781.09686
897.15424,765.8162
853.25,769.9883
796.5941,779.51917
834.8377,765.3732
869.18933,766.7432
864.549,754.7659
823.9862,770.16583
731.7822,771.989
830.2389,767.36633
870.2938,743.0201
876.288,743.1717
841.3503,752.99274
863.8368,745.4022
831.51715,749.9578
875.6432,747.1071
874.1037,759.5909
860.94,764.2119
847.67175,753.09204
814.26385,744.926
816.736,752.6049
829.21484,763.8969
820.01306,763.2806
811.8413,779.098
831.5309,764.22754
820.0332,767.99274
818.12805,765.03845
827.3889,760.9265
834.2381,736.6286
829.74097,748.0499
815.01746,744.8102
846.3518,756.25476
831.6905,746.5692
832.605,766.2369
855.6676,755.45984
870.8512,746.6995
855.0626,758.3215
914.56396,807.00305
954.419,777.6053
961.1554,792.12286
992.04333,789.05164
894.6454,796.2362
974.43164,793.89325
1066.3411,769.4873
942.3006,771.90906
855.1764,788.8518
911.352,733.9768
880.6471,768.19476
897.43524,730.03046
626.1096,577.38306
651.5079,523.11914
646.2377,555.2686
654.70667,597.78125
668.9392,615.59546
689.8693,643.9811
809.9199,703.2318
742.69354,665.77423
763.1817,701.24835
767.93805,692.7637
626.65735,680.60297
602.4299,690.94305
536.2132,700.2661
535.6533,696.6563
514.0287,645.4122
616.41,688.7278
844.0452,763.0537
568.67285,593.0591
626.1861,606.4328
710.59326,685.10675
722.9137,676.9786
703.9581,679.7832
690.1529,660.3319
608.3452,571.95056
693.39575,646.33356
794.6131,692.0658
785.06104,693.01526
774.3605,693.0751
724.9386,596.30786
785.10315,718.7464
821.7206,661.32587
782.037,643.14996
765.74554,693.9935
739.2273,683.34436
747.73944,681.3693
763.7931,682.5185
764.9779,691.3771
638.57416,698.9417
664.9991,705.5431
646.1301,712.4885
659.28876,709.6234
649.63947,704.9182
640.97003,703.4998
727.54803,659.8204
716.10596,677.2627
703.46716,675.4645
742.3415,654.10895
786.2995,669.5368
939.18427,662.0706
933.4707,707.4881
926.021,733.0079
912.7545,755.0985
823.3678,746.73694
788.54846,742.9435
787.6348,727.83777
783.12494,737.236
786.5671,714.17316
784.57245,708.0546
779.05634,681.6037
800.87756,743.4422
858.2382,779.2084
863.39575,788.01526
779.985,825.9133
783.29443,825.5285
786.2745,813.7744
789.7803,817.0419
810.3449,817.32556
805.67487,809.36127
799.70605,709.32367
794.4226,642.85297
861.98737,741.0567
815.261,741.0413
867.63544,757.70325
843.89594,771.5985
776.189,832.565
763.50415,827.7306
769.8515,844.5649
756.0307,850.201
510.00735,702.5708
569.43524,679.03406
623.58136,684.2587
699.3557,721.5768
742.4321,726.8307
694.80444,715.8815
690.05444,719.9308
678.30255,733.26843
617.3811,732.06573
601.5861,735.95575
621.0075,775.7285
676.0723,747.3744
663.2767,764.5867
667.9821,783.40625
611.60504,796.7484
609.1193,794.97144
577.939,790.4761
569.73267,787.0596
673.96326,686.7539
851.7321,686.47107
1285.4049,742.91876
1072.2957,709.78876
998.7186,631.9687
1311.6141,682.67694
998.07715,644.23065
1002.0959,603.22406
860.5127,625.4414
803.8779,637.08453
744.9677,650.9289
808.25195,677.4877
830.00836,679.4489
791.4436,686.1998
817.5002,686.9156
780.585,690.4008
780.3527,701.42004
789.5431,702.8859
876.68854,664.49084
776.5191,681.9596
792.4904,685.96204
782.5338,692.4549
779.40643,700.0218
774.7831,703.77734
774.46564,702.9458
772.53174,704.02234
773.10474,699.5398
773.2862,703.561
780.82715,707.45447
787.22,709.1611
788.87897,713.5605
788.05365,712.6544
772.97577,711.6487
769.0988,712.47217
771.1486,707.17365
774.77924,707.8809
797.1813,716.51306
831.0976,719.1728
838.47394,720.21277
836.944,720.1136
850.7277,726.3137
876.1801,670.8899
819.53094,706.85236
811.8463,714.738
813.8975,717.5044
816.22736,711.3683
815.8397,714.8278
819.6828,719.1965
845.3112,721.24646
886.33704,709.16815
891.8144,708.4531
898.3267,705.83887
908.94366,712.08466
911.58844,705.96155
886.56,702.8272
686.4196,723.72797
477.46506,664.7637
375.30948,727.509
248.623,767.4693
511.41022,736.6595
426.6797,754.02655
446.28976,742.0318
419.2262,744.068
474.7606,746.6993
460.9683,654.1373
712.4582,776.2408
757.9348,810.5738
797.78754,839.6981
785.12646,821.4471
1108.0675,719.83984
1376.7975,788.0162
1054.714,676.7127
1022.1429,650.1634
952.81287,645.014
987.12305,633.7341
873.0518,639.38727
749.53,600.74457
424.8057,713.73303
518.73785,675.7968
536.9829,693.2228
546.1406,698.2016
564.7714,699.27966
595.3219,694.1989
476.8935,746.7852
686.7142,805.1241
460.86,770.2129
447.54626,748.7034
258.6706,715.0564
358.05432,695.31854
421.4751,624.35504
522.54504,572.71497
608.0971,575.0745
617.6282,608.6367
577.0019,827.1427
611.65594,822.0025
657.6016,817.8711
631.37427,811.6287
580.8583,793.502
654.0451,784.0511
717.3667,803.4153
710.85077,795.3951
607.76495,800.7545
618.9348,810.8173
674.66534,836.1544
598.9176,877.32263
665.41156,878.4641
748.5188,909.13354
741.81067,906.0097
776.8742,908.2928
631.05347,954.7926
655.2844,956.08105
571.86597,950.04236
761.1773,770.9402
340.23776,739.98114
690.216,666.3692
429.52676,616.3792
545.59937,565.67804
588.7291,615.34265
650.60956,577.0804
681.5324,586.9987
692.05664,601.287
730.2,637.56024
739.9282,636.9446
568.00995,749.1574
692.87115,708.2466
700.31305,765.89764
695.9159,704.0138
687.33734,715.5916
672.9997,716.9071
669.5806,715.66345
663.86395,709.93195
508.24976,706.614
701.8642,698.78467
847.2841,862.99585
1018.99506,946.19806
801.2508,898.1472
788.5929,911.8139
841.9695,877.5457
799.7876,887.507
757.0517,899.1068
755.44794,955.4731
764.0156,969.3426
768.2254,973.6202
752.38525,966.36127
755.4427,965.45435
924.89136,899.0944
869.75037,893.3879
763.5867,943.8951
805.33154,1003.8876
790.1367,988.22955
783.51294,981.8583
835.59705,1011.6772
840.5656,1009.9999
847.6468,986.5086
835.8217,982.89935
838.2274,983.13556
835.56525,977.3828
838.53107,988.4616
850.89844,987.15546
846.5539,985.6343
849.8426,979.10406
858.09064,980.39087
848.488,978.76526
852.7722,980.1453
854.4259,981.9547
865.0061,986.7716
867.41693,981.3855
841.8958,973.1026
829.80615,973.15717
839.08936,974.8821
794.90186,956.04266
811.97266,957.21716
799.0416,959.8523
785.6904,964.40576
796.50006,974.14386
651.27936,754.03217
409.14383,641.7288
586.44543,600.9696
577.0171,613.4397
601.53284,624.6758
575.91895,633.3359
616.18225,662.03845
618.5111,657.2051
693.24097,646.1248
803.6077,964.31934
816.7803,997.1857
866.6292,958.15076
897.02405,975.9306
905.6655,988.12775
888.76794,988.05334
874.50903,988.26074
844.98285,972.05835
850.4916,979.6883
831.94415,980.4631
828.2648,982.52466
823.2024,976.4704
818.23285,980.35345
828.74347,982.30975
833.1023,981.87573
836.9891,981.36774
840.2586,990.62524
844.5943,987.8305
845.3937,986.9165
837.017,986.50757
851.6539,990.5232
833.9532,985.1888
838.3955,992.8774
822.55994,981.5748
808.52295,989.21967
830.1999,984.0644
821.9253,987.6883
824.23926,988.1774
815.813,991.05865
822.4325,986.1521
823.79065,987.2078
823.50287,988.44366
824.74023,992.5988
813.25793,989.1895
823.58136,987.3589
826.1822,990.3136
818.7803,987.19653
808.34076,994.69855
804.2497,987.2946
807.5277,986.91907
811.7355,995.53485
804.53186,992.20184
806.7272,996.34674
807.6433,994.97644
811.5042,994.9303
804.5576,993.1748
795.98303,1005.97687
812.99347,995.74176
801.4844,997.6683
